Demographics,Participants (n = 20)
"Age, years",48 ± 12
"Gender, male",15
Stage of CKD and/or dialysis modality,
- CKD stage 5 (non-dialysis),1
- HD (satellite),9
- HD (home),2
- PD,5
- Kidney transplant recipient,3
"Time on dialysis, years (n = 16)",2.9 [1–5]
Aetiology of CKD,
- Diabetic nephropathy,2
- Glomerulonephritis,9
- Reflux nephropathy,4
- Other,5
Co-morbidities,
- Previous parathyroidectomy,1
- Previous fracture,3
- Cinacalcet use in past 6 months,0
- Diabetes mellitus,4
- Cardiovascular disease,5
- Hypertension,13
- History of osteoporosis,1
- Failed transplant,6
- Smoker/ex-smoker,6
