"Exp No.
Exp No.","Control factors
n","Control factors
f","Control factors
d","Control factors
r","Control factors
c","Surface roughness, Ra (µm)
Trial 1","Surface roughness, Ra (µm)
Trial 2","Surface roughness, Ra (µm)
Trial 3","Surface roughness, Ra (µm)
Trial 4","Surface roughness, Ra (µm)
Mean, Ra","SNR for Ra
SNR for Ra","Tool-work interface temperature, T (°C)
Tool-work interface temperature, T (°C)","SNR for T
SNR for T"
1,1,1,1,1,1,0.5139,0.6012,0.5598,0.6134,0.5721,4.851,55.6,-34.90
2,1,1,1,1,2,0.4123,0.4521,0.5001,0.4234,0.4470,6.994,56.9,-35.10
3,1,1,1,1,3,0.4003,0.4043,0.4232,0.4103,0.4095,7.754,56.5,-35.04
4,1,2,2,2,1,1.1763,1.0932,1.0733,1.0031,1.0865,-0.720,71.5,-37.08
5,1,2,2,2,2,1.0274,1.1187,1.0686,1.0585,1.0683,-0.574,72.8,-37.24
6,1,2,2,2,3,0.9756,1.1452,1.0452,0.9952,1.0403,-0.343,72.4,-37.19
7,1,3,3,3,1,1.5075,1.6086,1.5675,1.7085,1.5980,-4.072,86.0,-38.69
8,1,3,3,3,2,1.5201,1.5345,1.4991,1.5318,1.5214,-3.645,87.3,-38.82
9,1,3,3,3,3,1.6742,1.7141,1.6932,1.6941,1.6939,-4.578,86.9,-38.78
10,2,1,2,3,1,0.5105,0.5695,0.5654,0.5765,0.5555,5.107,90.4,-39.12
11,2,1,2,3,2,0.5151,0.5253,0.5097,0.5232,0.5183,5.708,91.7,-39.25
12,2,1,2,3,3,0.5801,0.5798,0.5913,0.5801,0.5828,4.689,91.3,-39.21
13,2,2,3,1,1,1.0149,1.0159,1.0258,1.0154,1.0180,-0.155,91.8,-39.25
14,2,2,3,1,2,0.9809,0.9811,0.9789,0.9913,0.9831,0.148,93.1,-39.38
15,2,2,3,1,3,1.0851,1.0952,1.1952,1.0095,1.0963,-0.798,92.7,-39.34
16,2,3,1,2,1,1.4138,1.4247,1.4563,1.3947,1.4224,-3.060,104.9,-40.41
17,2,3,1,2,2,1.3277,1.4178,1.3188,1.3366,1.3502,-2.608,106.2,-40.52
18,2,3,1,2,3,1.5127,1.5029,1.5167,1.4991,1.5079,-3.567,105.8,-40.49
19,3,1,3,2,1,0.4279,0.4179,0.4389,0.4187,0.4259,7.415,113.6,-41.11
20,3,1,3,2,2,0.6172,0.6089,0.6061,0.6243,0.6141,4.235,114.9,-41.21
21,3,1,3,2,3,0.6163,0.6772,0.6972,0.6873,0.6695,3.485,114.5,-41.17
22,3,2,1,3,1,0.8933,0.8912,0.8793,0.8913,0.8888,1.024,132.4,-42.44
23,3,2,1,3,2,0.8714,0.8752,0.8743,0.8712,0.8730,1.179,133.7,-42.52
24,3,2,1,3,3,0.9217,0.9219,0.9301,0.9106,0.9211,0.714,133.3,-42.49
25,3,3,2,1,1,1.2694,1.2534,1.2614,1.2643,1.2621,-2.022,144.0,-43.17
26,3,3,2,1,2,1.3775,1.3624,1.3914,1.3715,1.3757,-2.770,145.3,-43.25
27,3,3,2,1,3,1.2915,1.3004,1.2904,1.2913,1.2934,-2.235,144.9,-43.22
