Source,DF,Seq SS,Contribution,Adj SS,Adj MS,F-Value,P-Value
n,1,15646.8,82.45%,20.7,20.69,3.01,0.105
f,1,2835.0,14.94%,15.3,15.31,2.23,0.158
d,1,1.1,0.01%,27.9,27.85,4.06,0.064
r,1,151.4,0.80%,88.6,88.62,12.91,0.003
c,1,3.6,0.02%,0.1,0.15,0.02,0.886
nf,1,189.6,1.00%,67.6,67.58,9.84,0.007
nd,1,5.1,0.03%,27.8,27.80,4.05,0.064
nc,1,0.0,0.00%,0.0,0.00,0.00,1.000
fd,1,48.7,0.26%,48.7,48.66,7.09,0.019
fc,1,0.0,0.00%,0.0,0.00,0.00,1.000
dc,1,0.0,0.00%,0.0,0.00,0.00,1.000
rc,1,0.0,0.00%,0.0,0.00,0.00,1.000
Error,14,96.1,0.51%,96.1,6.87,,
Total,26,18977.4,100.00%,,,,
