Condition,Fv/Fm,rETRm,Alpha,Ek,NPQ induc
T0,0.64 ± 0.03,61.70 ± 5.41,0.24 ± 0.03,255.21 ± 56.01,0.72 ± 0.10
Control -,0.63 ± 0.03,57.33 ± 2.51,0.25 ± 0.01,228.44 ± 10.84,0.68 ± 0.09
Control EtOH,0.64 ± 0.01,55.76 ± 3.61,0.24 ± 0.01,228.31 ± 21.55,0.65 ± 0.13
Control +,0.00,0.0,0.00,0.0,0.03 ± 0.03
Picochlorum                        sp.,0.13 ± 0.01,8.5,0.05,184.4,0.30
Odontella                        sp.,0.00,0.0,0.00,0.0,0.05
Tetraselmis                        sp.1,0.51 ± 0.01,41.7,0.23,181.0,0.48
Tetraselmis                        sp.2,0.50 ± 0.01,43.5,0.22,193.3,0.46
Chaetoceros                        sp.,0.00,0.0,0.00,0.0,0.10
Pavlova                        sp.,0.00,0.0,0.00,0.0,0.07
Thalassiosira                        sp.,0.00,0.0,0.00,0.0,0.12
Arthrospira                        sp.,0.61 ± 0.01,61.0,0.25,246.3,0.80
Nitzschia                        sp.,0.46 ± 0.01,35.4,0.21,168.0,0.30
Nephroselmis                        sp.,0.37 ± 0.01,28.8,0.16,177.1,0.34
Entomoneis                        sp.,0.065 ± 0.01,3.6,0.03,125.5,0.13
