Transit No.,Epoch,Tc (BJD                         TDB                        ),Tc Uncertainty,Linear O-C,Telescope
1,2622,2458032.45353,0.00076,0.000075,POST
3,2839,2458295.65089,0.00057,0.001074,PIRATE
4,2843,2458300.50097,0.00075,-0.000392,PIRATE
5,2843,2458300.50190,0.00120,0.000538,POST
6,2848,2458306.56787,0.00071,0.002075,PIRATE
7,2848,2458306.56574,0.00070,-0.000055,POST
8,2853,2458312.62941,0.00078,-0.000817,PIRATE
9,2857,2458317.48136,0.00054,-0.000413,POST
10,2871,2458334.46187,0.00066,-0.000313,PIRATE
11,2876,2458340.5272,0.00045,0.000585,PIRATE
12,2890,2458357.50703,0.00060,0.000004,PIRATE
13,2913,2458385.40434,0.00068,0.000926,PIRATE
14,2913,2458385.40582,0.00075,0.002406,POST
16,2918,2458391.47024,0.00093,0.002393,POST
17,2932,2458408.44838,0.0006,0.000123,PIRATE
