VMI number,VMI name,Mounted size [GB ],Number of files,Similarity [                             S                              i                                  m                                    G                                ],Publishing time [s ],Retrieval time [s ]
1,Mini,1.63342,65                        011,0,26.13,12.77
2,Redis,1.63653,65                        081,0.97,7.79,12.86
3,Sqlite,1.63848,65                        030,0.91,11.55,12.60
4,Celery,1.64746,66                        151,0.93,8.21,15.08
5,OpenVPN,1.64166,65                        331,0.97,8.45,12.96
6,Apache-httpd,1.64752,66                        014,0.69,34.29,15.04
7,Nginx,1.65350,65                        351,0.88,9.63,14.36
8,Tornado,1.67456,67                        042,0.71,11.68,14.59
9,Yarn,1.66278,65                        336,0.80,11.06,14.16
10,Postgre SQL,1.69201,67                        355,0.86,16.08,16.60
11,Django,1.69122,75                        530,0.71,15.23,14.37
12,Flower,1.70843,69                        791,0.76,13.61,16.76
13,Gluster-FS,1.69744,67                        640,0.75,19.95,23.80
14,CouchDB,1.71215,67                        388,0.76,20.25,18.82
15,Vagrant,1.70739,69                        024,0.79,15.82,15.67
16,Samba,1.73431,68                        346,0.72,23.78,16.79
17,Tomcat,1.80853,66                        145,0.40,44.53,18.93
18,MariaDB,1.79785,66                        038,0.35,32.01,24.13
19,Apache Solr,1.88867,67                        916,0.83,16.36,22.47
20,MySQL,1.82855,66                        117,0.42,37.20,20.94
21,Ethereum,1.83135,65                        357,0.38,62.38,19.26
22,Own Cloud,1.94165,83                        042,0.61,53.81,25.72
23,XDM,1.82452,66                        069,0.98,4.32,15.07
24,MongoDB,1.88494,65                        310,0.18,98.06,19.51
25,Puppet,2.03308,78                        257,0.57,56.81,23.98
26,Docker-env,1.95758,67                        005,0.30,113.36,21.11
27,VirtualBox,1.95391,68                        489,0.70,67.46,48.37
28,Cassandra,2.01068,69                        317,0.50,108.78,34.01
29,Base,1.95037,86                        402,0.90,27.03,34.76
30,Jenkins,2.13690,68                        834,0.86,34.55,33.85
31,Elastic Search,2.05871,69                        256,0.85,33.06,34.26
32,Desktop,2.11517,91                        280,0.92,32.53,43.84
33,Lamp,2.27398,100                        060,0.98,6.98,26.25
34,Lemp,2.28131,99                        580,0.98,9.45,25.64
35,Neo4J,2.26873,67                        553,0.72,63.36,41.00
36,RabbitMQ,2.21447,87                        070,0.84,33.18,30.65
37,Kibana,2.32360,108                        798,0.70,109.81,30.82
38,Logstash,2.34014,83                        757,0.72,88.51,31.17
39,IDE,2.38635,73                        820,0.71,72.87,44.46
40,DevOps toolbox,2.42687,86                        042,0.91,32.42,63.16
41,Kubernetes,2.46661,68                        879,0.15,254.69,29.70
42,ELK-Stack,2.83361,125                        340,0.98,11.15,34.30
