ISO texture parameter,d.f.,F,p                        -value
Sq,"4, 41",3.108,0.025
Ssk,"4, 41",6.950,< 0.001
Sku,"4, 41",0.167,0.954
Sp †,"4, 9.228",0.642,0.646
Sv,"4, 41",0.203,0.935
Sz,"4, 41",0.187,0.944
Sds †,"4, 11.881",26.503,< 0.001
Str,"4, 41",8.000,< 0.001
Sdq,"4, 41",0.949,0.445
Ssc,"4, 41",1.221,0.317
Sdr,"4, 41",0.940,0.450
Vmp                        †,"4, 8.857",4.678,0.026
Vmc,"4, 41",3.974,0.008
Vvc,"4, 41",1.796,0.148
Vvv,"4, 41",4.539,0.004
Spk                        †,"4, 8.852",3.952,0.041
Sk,"4, 41",2.883,0.034
Svk,"4, 41",3.250,0.021
Smr1 †,"4, 9.494",6.396,0.009
Smr2,"4, 41",3.970,0.008
S5z,"4, 41",0.682,0.608
Sa,"4, 41",3.665,0.012
