Parameter,Symbol,Unit,Case I,Case II,Case III,,,,
Distance between c.o.g.                        and e.a.,x                                    EG                                  /                              c,–,≈0,-                              0.022,+                              0.059,,,,
Mass moment of inertia based on                                 f                                    α                                    1                                  -                                  DOF,I                                    α                                    E,kg m                         2,1.399                              ×                                  10                                    -                                  4,1.73                              ×                                  10                                    -                                  4,1.73                              ×                                  10                                    -                                  4,,,,
Mass of dynamic system,m                                    w,kg,0.33521,0.33521,0.33521,,,,
Bending stiffness,k                                    h,N/m,698,698,698,,,,
Torsional stiffness,k                                    α,Nm/rad,0.3832,0.3832,0.3832,,,,
Total translational damping in still air,"b                                    h                                    1                                  -                                  DOF                                  ,                                  tot",Ns/m,9.72                              ×                                  10                                    -                                  2,8.57                             ×                                  10                                    -                                  2,16.28                             ×                                  10                                    -                                  2,,,,
Total rotational damping in still air,"b                                    α                                    1                                  -                                  DOF                                  ,                                  tot",Nm/s,3.70                              ×                                  10                                    -                                  5,3.94                              ×                                  10                                    -                                  5,4.54                              ×                                  10                                    -                                  5,,,,
Total translational damping ratio in still air,"D                                    h                                    1                                  -                                  DOF                                  ,                                  tot",–,3.18                              ×                                  10                                    -                                  3,2.80                              ×                                  10                                    -                                  3,5.32                              ×                                  10                                    -                                  3,,,,
Total rotational damping ratio in still air,"D                                    α                                    1                                  -                                  DOF                                  ,                                  tot",–,2.53                              ×                                  10                                    -                                  3,2.42                              ×                                  10                                    -                                  3,2.79                              ×                                  10                                    -                                  3,,,,
