,RT (min),[M-H]                         −,Formula,Error (ppm),MS/MS product ions,Proposed compound,Putative structure
1,1.1,133.0144,C                         4                        H                         6                        O                         5,−1.3,115 (10 %); 72 (84.2 %); 71 (100 %); 59 (27.5 %),malic acid,"Image, table 1"
2,1.3,195.0508,C                         6                        H                         12                        O                         7,1.1,89 (8.7 %); 87 (23 %); 85 (18.5 %); 75 (100 %); 72 (24 %); 71 (22.6 %); 59 (71.7 %); 57 (9.1%),gluconic acid,"Image, table 1"
3,1.8,191.0194,C                         6                        H                         8                        O                         7,1.8,111 (77.3 %); 87 (100 %); 85 (30.7 %); 67 (7.1 %); 59 (15.2 %); 57 (28.1 %),citric acid,"Image, table 1"
4,1.8,217.0352,C                         8                        H                         10                        O                         7,0.0,199 (2 %); 155 (6 %); 127 (13 %); 119 (8 %); 115 (30 %); 83 (100 %),6-                         O                        -acetylascorbic acid,"Image, table 1"
5,1.9,407.1195,C                         16                        H                         24                        O                         12,0.0,181 (19 %); 163 (17 %); 151 (23 %); 113 (11 %),unedide,"Image, table 1"
6,2.5,391.1245,C                         16                        H                         24                        O                         11,0.2,183 (23 %); 165 (26 %); 139 (14 %); 101(7%),shanzhiside,"Image, table 1"
7,3.9,409.1344,C                         16                        H                         26                        O                         12,1.8,183 (100 %); 179 (25 %); 165 (44 %); 121(7%),glycoside derivative                           a,"Image, table 1"
8,4.1,393.1401,C                         16                        H                         26                        O                         11,0.3,175 (19 %); 127 (21 %); 132 (3 %); 113 (4 %),Methyl scutelloside,"Image, table 1"
9,5.1,353.0883,C                         16                        H                         18                        O                         9,−1.3,191 (100 %),chlorogenic acid,"Image, table 1"
10,5.7,637.1028,C                         27                        H                         26                        O                         18,0.4,461 (40.3 %); 285 (100 %),luteolin 7-glucuronosyl-(1-2) -glucuronide,"Image, table 1"
11,5.8,621.1091,C                         27                        H                         26                        O                         17,1.0,445 (41%); 269 (100%),apigenin 7-glucuronosyl- (1-2)-glucuronside,"Image, table 1"
12,6.1,669.2031,C                         30                        H                         38                        O                         17,0.1,354 (1 %); 325 (3.4 %); 179 (8 %); 161 (55 %); 135 (31 %),taxifolin derivative                           b,"Image, table 1"
13,6.5,623.1997,C                         29                        H                         36                        O                         15,−2.4,623 (40.5 %); 461 (11.7 %); 161 (100 %); 133 (33.7 %),verbascoside,"Image, table 1"
14,6.6,447.0932,C                         21                        H                         20                        O                         11,0.2,447 (32.1 %); 285 (100 %); 284 (31 %); 227 (16 %); 201 (10.6 %); 133 (10.3 %); 107 (14.3 %),luteolin 7-O-glucoside,"Image, table 1"
15,6.6,461.0722,C                         21                        H                         18                        O                         12,0.7,285 (100 %); 133 (16.6 %),luteolin 7-O-glucuronide,"Image, table 1"
16,6.6,653.2082,C                         30                        H                         38                        O                         16,0.8,653 (100 %); 377 (39.4 %); 309 (11.3 %); 163 (74.6 %); 145 (89.6 %); 119 (52.5 %); 117 (23.7 %),saccatoside,"Image, table 1"
17,6.7,401.1819,C                         19                        H                         30                        O                         9,1.0,221 (15 %); 195 (1 %); 162 (1 %); 71 (28 %); 59 (47 %),sauroposide,"Image, table 1"
18,6.8,683.2154,C                         31                        H                         40                        O                         17,5.6,407 (41 %); 193 (60 %); 163 (11 %); 160 (65 %); 149 (9 %),Scropheanosi de II,"Image, table 1"
19,7.1,431.0981,C                         21                        H                         20                        O                         10,0.7,-,apigenin 7-O-glucoside,"Image, table 1"
20,7.2,445.0770,C                         21                        H                         18                        O                         11,1.4,269 (100 %); 117 (16.3 %),apigenin 7-galactoronide,"Image, table 1"
21,8.4,285.0398,C                         15                        H                         10                        O                         6,2.2,285 (100 %); 217 (9.1 %); 201 (6.7 %); 199 (11.3 %); 175 (10.8 %); 151 (15.9 %); 149 (7.3 %); 133 (41.4 %); 132 (12.4 %);,luteolin,"Image, table 1"
22,9.2,269.0456,C                         15                        H                         10                        O                         5,−0.2,269 (100 %); 227 (31.9 %); 165 (19.7%); 159 (6.9 %); 151 (70.6%); 149 (34.6 %); 117 (60.8 %); 107 (24.3 %);,apigenin,"Image, table 1"
23,11.7,293.1759,C                         17                        H                         26                        O                         4,0.2,236 (28 %); 221 (100 %),phytuberin,"Image, table 1"
