,PC1,PC2,PC3,PC4,PC5,ITS,Bact,Arch,nifH,AOB,AOA,nirK,nirS,nosZ
PC1,1.00,,,,,,,,,,,,,
PC2,0.00,1.00,,,,,,,,,,,,
PC3,0.00,0.00,1.00,,,,,,,,,,,
PC4,0.00,0.00,0.00,1.00,,,,,,,,,,
PC5,0.00,0.00,0.00,0.00,1.00,,,,,,,,,
ITS,0.30,0.54,−0.08,0.10,0.04,1.00,,,,,,,,
Bact,0.36,0.26,0.10,0.22,0.05,0.80,1.00,,,,,,,
Archaea,0.11,−0.07,0.13,0.53,−0.30,0.20,0.49,1.00,,,,,,
nifH,0.16,0.09,−0.03,0.53,−0.18,0.57,0.63,0.69,1.00,,,,,
AOB,−0.13,0.47,−0.06,0.05,−0.06,0.72,0.55,0.20,0.46,1.00,,,,
AOA,0.24,−0.02,−0.01,0.23,−0.19,0.11,0.13,0.41,0.19,0.00,1.00,,,
nirK,0.25,0.46,−0.03,0.22,−0.07,0.91,0.77,0.25,0.67,0.79,0.11,1.00,,
nirS,0.41,0.23,0.06,0.41,−0.17,0.77,0.71,0.46,0.78,0.52,0.35,0.87,1.00,
nosZ,0.15,0.46,−0.06,0.16,−0.06,0.92,0.72,0.28,0.69,0.85,0.04,0.94,0.79,1.00
