Authors,Lee,Adelman,Taylor,Feugier,Kreienberg,Angle
Title and Abstract,1/2,1/2,1/2,1/2,1/2,1/2
Introduction,,,,,,
Background,1,1,1,1,1,1
Objectives,1,1,1,1,1,1
Methods,,,,,,
Study design,1,1,1,1,1,1
Setting,1,1,1,1,1,1
Participants,1,1,1,1,1,1
Variables,0,0,1/2,1/2,1/2,1
Data source,1/2,1/2,1,1,1,1
Bias,0,0,0,0,0,1/2
Study size,1,1,1,1,1,1
Quantitative variables,Na,Na,1,Na,Na,Na
Statistical methods,0,0,1/2,0,0,1/2
Results,,,,,,
Participants,1/2,1/2,1,1,1,1
Descriptive data,0,0,0,1/2,1/2,1
Outcome data,1,1,1,1,1,1
Main results,0,0,0,0,0,1/2
Other analysis,0,0,1,0,0,0
Discussion,,,,,,
Key results,1,1/2,1,0,1,1
Limitations,1/2,0,1/2,0,0,1/2
Interpretation,1,1/2,1,1/2,1/2,1
Generalizability,1,1,0,0,0,1
Other information,,,,,,
Funding,1,1,1,1,1,1
Total score,13/21,"11,5/21",16/22,12/21,13/21,"17,5/21"
