"Experiments used approximately 100 gr. of sandy soil and 200 mL of deionzied water or NaSO4 solution
","Experiments used approximately 100 gr. of sandy soil and 200 mL of deionzied water or NaSO4 solution
Rinse 1","Experiments used approximately 100 gr. of sandy soil and 200 mL of deionzied water or NaSO4 solution
Rinse 2","Experiments used approximately 100 gr. of sandy soil and 200 mL of deionzied water or NaSO4 solution
Rinse 3","Experiments used approximately 100 gr. of sandy soil and 200 mL of deionzied water or NaSO4 solution
Total","Experiments used approximately 100 gr. of sandy soil and 200 mL of deionzied water or NaSO4 solution
Extracted"
Method A,Cl                         −                        (mg/L),Cl                         −                        (mg/L),Cl                         −                        (mg/L),Cl                         −                        (mg/L),Cl                         −                        (ppm)
A1,0.51,0.28,0.11,0.90,
A2,0.76,0.32,0.17,1.25,
A3,0.78,0.26,0.21,1.25,
A4,0.76,0.34,0.2,1.30,
Mean,0.70,0.30,0.17,1.18,
Standard Deviation,0.13,0.04,0.05,0.18,
Experimental Blank,C,0.19,0.20,,
Mean - Blank,0.51,0.11,−0.03,0.62,3.71
% total Cl                         −,82.19,17.81,0.00,100.00,
,,,,,
Method BL: 0.0001                          M Na                           2                          SO                           4,,,,,
BL1,0.83,0.26,0.18,1.27,
BL2,0.84,0.29,0.31,1.44,
BL3,0.80,0.28,0.24,1.32,
BL4,0.80,0.27,0.18,1.25,
Mean,0.82,0.28,0.23,1.32,
Standard Deviation,0.02,0.01,0.06,0.09,
Experimental Blank,0.17,0.18,0.18,,
Mean - Blank,0.65,0.10,0.05,0.79,4.74
% total Cl                         −,81.96,12.03,6.01,100.00,
,,,,,
Method BH: 0.001                          M Na                           2                          SO                           4,,,,,
BH1,1.51,0.40,0.19,2.10,
BH2,1.43,0.42,0.22,2.07,
BH3,1.43,0.44,0.25,2.12,
BH4,1.46,0.54,0.3,2.30,
Mean,1.46,0.45,0.24,2.15,
Standard Deviation,0.04,0.06,0.05,0.10,
Experimental Blank,0.38,0.13,0.18,,
Mean - Blank,1.08,0.32,0.06,1.46,8.75
% total Cl                         −,73.93,21.96,4.12,100.00,
,,,,,
Method C: Column,,,,,
C1,0.61,0.07,0.08,0.76,
C2,1.10,0.42,0.04,1.56,
C3,1.00,0.09,BD,1.09,
C4,0.90,0.1,0.33,1.33,
Mean,0.90,0.17,0.15,1.19,
Standard Deviation,0.21,0.17,0.16,0.34,
Experimental Blank,0.15,0.19,0.16,,
Mean - Blank,0.75,−0.02,−0.01,0.75,4.52
% total Cl                         −,100.00,0.00,0.00,100.00,
