Characteristic,Adherence                         n                        = 395 (43.5),Undertreatment                         n                        = 355 (39.1),P value,Overtreatment                         n                        = 87 (9.6),P value,Equivalent treatment                         n                        = 72 (7.9),P value
"Sex, male",235 (59.5),204 (57.5),.57,57 (65.5),.30,46 (63.9),.48
"Age, mean (SD)",61.0 (16.3),61.6 (14.8),.62,61.1 (14.4),.99,58.9 (15.9),.30
"Arrival, by ambulance",119 (30.1),59 (16.6),<0.001,30 (34.5),.43,19 (26.4),.49
"Triage category, immediate/very urgent                           a",122 (33.3),50 (14.7),<0.001,44 (52.4),.001,13 (18.3),.01
Direct intensive care unit admittance,46 (11.6),7 (2.0),<0.001,12 (13.8),.58,5 (6.9),.24
Chills,156 (39.5),169 (47.6),.03,32 (36.8),.64,38 (52.8),.04
Vomiting,88 (22.3),99 (27.9),.08,23 (26.4),.40,18 (25.0),.61
Need for vasopressors,24 (6.1),5 (1.4),.001,10 (11.5),.07,1 (1.4),.10
"Vital signs, mean (SD)",,,,,,,
"Body temperature, °C                           b",38.4 (1.3),38.2 (1.1),.08,38.4 (1.0),.59,38.4 (1.1),.99
"Heart rate, /min                           c",109 (24.4),102 (20.6),<0.001,117 (24.0),.007,109 (23.3),.98
"Respiratory rate, /min                           d",24 (8.6),22 (7.1),.003,27 (10.0),.01,22 (7.2),.11
"Systolic blood pressure, mm Hg                           e",124 (28.5),127 (24.6),.08,120 (28.6),.23,125 (35.2),.77
"Oxygen saturation,%                           f",95 (5.7),96 (3.0),.02,93 (9.9),.07,96 (3.0),.58
Any supplemental oxygen,195 (49.4),99 (27.9),<0.001,56 (64.4),.01,35 (48.6),.91
"Consciousness, not alert                           g",64 (18.8),19 (6.8),<0.001,19 (24.4),.26,8 (12.1),.20
"NEWS, mean (SD)                           h",6 (3.8),4 (3.1),<0.001,8 (4.3),.001,6 (3.5),.69
Comorbidities of the CCI,,,,,,,
"Diabetes mellitus, uncomplicated",72 (18.2),74 (20.8),.37,14 (16.1),.64,18 (25.0),.18
"Diabetes mellitus, end-organ damage",3 (0.8),2 (0.6),.74,3 (3.4),.04,1 (1.4),.59
"Liver disease, mild",32 (8.1),69 (19.4),<0.001,7 (8.0),.99,18 (25.0),<0.001
"Liver disease, moderate to severe",5 (1.3),2 (0.6),.32,0 (0.0),.29,1 (1.4),.93
"Malignancy, leukemia, lymphoma, localized solid tumor",59 (14.9),66 (18.6),.18,6 (6.9),.05,21 (29.2),.003
"Malignancy, metastatic solid tumor",48 (12.2),50 (14.1),.43,9 (10.3),.64,15 (20.8),.05
Chronic kidney disease,56 (14.2),83 (23.4),.001,13 (14.9),.85,5 (6.9),.09
Chronic pulmonary disease,48 (12.2),45 (12.7),.83,22 (25.3),.002,6 (8.3),.35
"CCI, mean (SD)",4 (2.9),5 (2.8),.02,4 (2.9),.84,5 (3.0),.11
"Origin, hospital acquired",205 (51.9),199 (56.1),.25,38 (43.7),.17,46 (63.9),.06
Ten most common working diagnoses,,,,,,,
Cholangitis,25 (6.3),115 (32.4),<0.001,5 (5.7),.84,36 (50.0),<0.001
"Sepsis, urogenital",78 (19.7),50 (14.1),.04,7 (8.0),.01,3 (4.2),.001
Pyelonephritis,33 (8.4),94 (26.5),<0.001,1 (1.1),.02,0 (0.0),.01
"Sepsis, unknown",59 (14.9),25 (7.0),.001,10 (11.5),.41,4 (5.6),.03
Mild CA pneumonia (CURB 0–1),12 (3.0),7 (2.0),.35,20 (23.0),<0.001,6 (8.3),.03
Severe CA pneumonia (CURB 3–5),18 (4.6),14 (3.9),.68,4 (4.6),.99,1 (1.4),.21
Febrile neutropenia,32 (8.1),2 (0.6),<0.001,1 (1.1),.02,2 (2.8),.11
"Meningitis, primary",24 (6.1),2 (0.6),<0.001,6 (6.9),.77,0 (0.0),.03
"Sepsis, abdominal",15 (3.8),12 (3.4),.76,0 (0.0),.07,2 (2.8),.67
Moderate CA pneumonia (CURB 2),8 (2.0),2 (0.6),.08,16 (18.4),<0.001,0 (0.0),.22
