"Variable
Variable","OLS (1)
ROS","OLS (2)
ROS","Lagged OLS (3)
ROS","Lagged OLS (4)
ROS","OLS (5)
ROA","OLS (6)
ROA","Lagged OLS (7)
ROA","Lagged OLS (8)
ROA"
REN/TC,0.110*,0.015*,0.011,1.013,0.122*,0.011*,0.020,1.021
,(1.931),(1.891),(1.691),(1.313),(1.994),(1.897),(1.591),(1.112)
WOBP,0.142**,0.124**,1.391***,1.171**,0.111**,0.125**,1.201**,1.113**
,(2.101),(2.134),(2.412),(2.151),(2.110),(2.113),(2.092),(2.124)
WOBP × REN/TC,0.143***,0.116**,0.137***,0.123***,0.101***,0.100**,0.114**,0.114**
,(2.823),(2.159),(2.243),(2.302),(2.433),(2.113),(2.172),(2.011)
WCEO,ˉ,0.114,0.016,1.239,ˉ,0.114,0.028,1.111
,ˉ,(1.441),(0.232),(1.441),ˉ,(1.192),(1.234),(1.134)
Board size,ˉ,3.103**,0.631**,1.912**,ˉ,2.142**,0.629**,1.812**
,ˉ,(2.109),(2.021),(2.114),ˉ,(2.117),(2.014),(2.183)
Duality,ˉ,−0.199*,−0.014*,−0.120*,ˉ,−0.170*,−0.023,−0.123*
,ˉ,(−1.899),(−1.998),(−1.973),ˉ,(−1.899),(−1.683),(−1.913)
%_Board independence,ˉ,2.112**,2.012**,1.982**,ˉ,2.210**,2.122**,2.008**
,ˉ,(2.031),(2.101),(2.124),ˉ,(2.011),(2.013),(2.011)
B_meeting,ˉ,−6.232,−2.114,−4.132,ˉ,−4.102,−2.133,−4.164
,ˉ,(−0.167),(−1.142),(−1.703),ˉ,(−1.190),(−1.113),(−1.632)
Cash/net assets,ˉ,0.091,0.143,0.143,ˉ,1.101,1.016,0.132
,ˉ,(1.612),(1.105),(1.152),ˉ,(1.153),(1.123),(1.113)
Leverage,ˉ,−27.122,−23.134,−20.133,ˉ,−19.134,−11.123,−11.134
,ˉ,(−1.313),(−1.634),(−1.213),ˉ,(−0.853),(−1.801),(−1.432)
IO,ˉ,−0.234*,−0.129,−0.141,ˉ,−0.322*,−0.203,−0.144
,ˉ,(−1.912),(−1.033),(−1.431),ˉ,(−1.890),(−1.143),(−1.644)
%_Insider owner,ˉ,−0.513*,−0.151*,−0.221*,ˉ,−0.321*,−0.167*,−0.113*
,ˉ,(−1.916),(−1.912),(−1.951),ˉ,(−1.942),(−1.916),(−1.162)
Firm size,ˉ,8.101**,9.117**,10.235***,ˉ,7.011**,6.243**,8.112**
,ˉ,(2.016),(2.142),(2.434),ˉ,(2.119),(2.144),(2.215)
Constant,7.153***,11.143**,10.191**,13.122**,6.223***,6.155***,8.122**,8.112**
,(3.431),(2.121),(2.211),(2.101),(4.112),(2.356),(2.121),(2.172)
Industry effects,Y,Y,Y,Y,Y,Y,Y,Y
Year effects,Y,Y,Y,Y,Y,Y,Y,Y
N,"11,677","11,677",9190,7950,"11,677","11,677",9190,7950
Adj. R-sq,0.185,0.201,0.212,0.202,0.193,0.225,0.221,0.211
