"Variable
Variable","OLS (1)
REN/TC","OLS (2)
REN/TC","OLS (3)
REN/TC","OLS (4)
REN/TC","OLS (5)
ROS","OLS (6)
ROA"
WOBP,1.519***,ˉ,ˉ,ˉ,0.119**,1.114**
,(2.652),ˉ,ˉ,ˉ,(2.122),(2.192)
WOBN,ˉ,1.352**,ˉ,ˉ,ˉ,ˉ
,ˉ,(2.126),ˉ,ˉ,ˉ,ˉ
W0,ˉ,ˉ,1.142,ˉ,ˉ,ˉ
,ˉ,ˉ,(1.595),ˉ,ˉ,ˉ
W1,ˉ,ˉ,1.140,ˉ,ˉ,ˉ
,ˉ,ˉ,(1.665),ˉ,ˉ,ˉ
W2,ˉ,ˉ,1.525***,ˉ,ˉ,ˉ
,ˉ,ˉ,(2.466),ˉ,ˉ,ˉ
W3,ˉ,ˉ,1.587**,ˉ,ˉ,ˉ
,ˉ,ˉ,(2.119),ˉ,ˉ,ˉ
WOB_independence,ˉ,ˉ,ˉ,1.142**,ˉ,ˉ
,ˉ,ˉ,ˉ,(2.094),ˉ,ˉ
WOB_insider,ˉ,ˉ,ˉ,1.588,ˉ,ˉ
,ˉ,ˉ,ˉ,(1.713),ˉ,ˉ
REN/TC,ˉ,ˉ,ˉ,ˉ,0.013*,1.024
,ˉ,ˉ,ˉ,ˉ,(1.879),(1.149)
WOBP × REN/TC,ˉ,ˉ,ˉ,ˉ,0.139***,0.119**
,ˉ,ˉ,ˉ,ˉ,(2.309),(2.131)
WCEO,0.485,1.012,1.611*,1.353*,0.019,1.130
,(0.334),(0.486),(1.977),(1.985),(0.334),(1.118)
Board size,1.780**,2.344*,3.134,2.543*,0.621**,1.194**
,(2.114),(1.898),(1.224),(1.882),(2.119),(2.145)
Duality,−0.078*,−1.132,−2.841,−2.230*,−0.019*,−0.132*
,(−1.837),(−0.124),(−0.441),(−1.984),(−1.993),(−1.951)
%_Board independence,2.803***,2.338**,2.263*,1.425**,2.013**,2.064**
,(2.811),(2.067),(1.914),(2.147),(2.115),(2.015)
B_meeting,−6.066,−7.152,−7.126,−8.012,−2.113,−4.178
,(−0.572),(−0.772),(−0.618),(−1.705),(−1.153),(−1.611)
Tobin's q,4.086*,−6.650,−7.162,4.410,ˉ,ˉ
,(1.943),(−0.223),(−0.246),(1.232),ˉ,ˉ
ROA,2.094*,2.021*,2.017*,1.179*,ˉ,ˉ
,(1.942),(1.923),(1.896),(1.918),ˉ,ˉ
Cash/net assets,0.023,3.011,2.732,3.120,0.199,0.145
,(1.228),(1.354),(0.149),(1.393),(1.217),(1.182)
Leverage,−14.135,−14.257,−13.138,−11.312,−23.224,−14.315
,(−0.414),(−0.784),(−0.773),(−1.713),(−1.690),(−1.642)
IO,−0.134,−0.123,−0.133,−0.203,−0.124,−0.142
,(−0.389),(−0.429),(−0.311),(−1.401),(−1.137),(−1.663)
%_Insider owner,−0.503*,0.627,0.462,−1.345,−0.154*,−0.211*
,(−1.943),(0.131),(0.101),(1.466),(−1.991),(−1.994)
Firm size,9.431***,16.173***,16.246***,7.122***,9.123**,8.011**
,(3.132),(2.858),(2.737),(2.314),(2.114),(2.146)
Constant,15.546*,−25.740*,ˉ,−16.740*,11.143**,10.111**
,(1.883),(−1.849),ˉ,(−1.890),(2.211),(2.183)
Industry effects,Y,Y,Y,Y,Y,Y
Year effects,Y,Y,Y,Y,Y,Y
N,"10,434","10,434","10,434","10,434","10,434","10,434"
Adj. R-sq,0.211,0.191,0.186,0.169,0.215,0.210
