Compound,Structure,Target,Chemistry,Year,Ref.
[                         11                        C]Phenytoin                          40,Image 40,Registered drug. Antiepileptic and moderate P-gp substrate,"E.g.                        Rh                         2                        (OAc)                         4                        + dppe                        THF, 120 °C                        5 min",1983                        2012                        2015                        2016,"[                         17                        ,                         129–131                        ]"
[                         11                        C]GV15026                          41,Image 41,NMDA glycine antagonist,Pd(Ph                         3                        )                         4,2000,Unpublished
Not named                          42,Image 42,Analogue of Citalopram targeting serotonin transporter,"Pd(Ph                         3                        )                         4                         Dioxane, 150 °C                        5 min",2003,[                         96                        ]
[                         11                        C]MK-0233                          43,Image 43,Neuropeptide Y Y5 receptor,"E.g.                         Pd(Ph                         3                        )                         4                         THF, 150 °C                        6 min",2006                        2011,"[                         53                        ,                         107                        ,                         108                        ]"
[                         11                        C]Hydroxyurea                          44,Image 44                           (multistep synthesis),Ribonucleoside reductase inhibitor,"[RhCl(COD)]                         2                        + dppe                        THF, 120 °C                        5 min",2006,"[                         124                        ,                         150                        ]"
Not named                          45,Image 45                           (multistep synthesis),Analogues of GR205171 targeting the NK                         1                        receptor,"Pd                         2                        (dba)                         3                        + PPh                         3                         p-toluene-sulfonic acid                        THF, 70 °C                        3 min",2007,[                         114                        ]
[                         11                        C]Eprosartan                          46,Image 46,Registered drug. AT                         2                        receptor antagonist,"Pd(Ph                         3                        )                         4                         THF, 150 °C                        5 min",2009,[                         101                        ]
Not named                          47,Image 47,AT                         2                        receptor antagonist,"Pd(Ph                         3                        )                         4                         THF, 110 °C                        5 min",2010,[                         93                        ]
[                         carbonyl                        -                         11                        C]benzyl acetate                          48,Image 48,Cerebral oxidative metabolism and glial cell metabolism,"Pd(Ph                         3                        )                         4                         THF, 140 °C                        2 min",2010,[                         105                        ]
[                         carbonyl                        -                         11                        C]Zolmitriptan                          49,Image 49,Registered drug. 5-HT                         1B/1D                        receptor agonist,Selenium-mediated carbonylation,2011,"[                         118                        ,                         119                        ]"
[                         urea                        -                         11                        C]Sorafenib                          50,Image 50,Registered drug targeting tyrosine kinase,"[Rh(COD)Cl]                         2                        + PPh                         3                         THF, 120 °C                        5 min",2013,[                         127                        ]
[                         11                        C]AZ13198083                          51,Image 51,Histamine type-3 receptor radioligand,"[(cinnamyl)PdCl]                         2                        + Xantphos                        THF, 100 °C                        5 min",2013                        2018                        2020,"[                         58                        ,                         67                        ,                         99                        ]"
[                         11                        C]BSI-IV                          52,Image 52,BACE-1 inhibitor,"Pd(Xantphos)Cl                         2                         THF, 120 °C                        5 min",2014,[                         89                        ]
[                         11                        C]Benzovesamicol derivates                          53,Image 53,Analogue of Benzovesamicol targeting VAChT,"Pd(Ph                         3                        )                         4                         THF, 150 °C                        5 min",2014,[                         88                        ]
[                         11                        C]FIMX                          54,Image 54,mGluR1 radioligand,"Pd(Ph                         3                        )                         4                         THF, 130 °C                        4 min + Boc deprotection",2015,[                         90                        ]
[c                         arbonyl-                          11                        C]Raclopride                          55,Image 55,Dopamine D                         2                        radioligand,"E.g.                         [(cinnamyl)PdCl]                         2                        + Xantphos                        THF, 100 °C                        5 min",2015                        2020,"[                         34                        ,                         59                        ,                         67                        ,                         70                        ,                         91                        ]"
Not named                          56,Image 56,Tissue transglutaminase (TG2) binder,"Pd                         2                        (dba)                         3                        + PPh                         3                         THF, 100 °C                        5 min",2016,[                         62                        ]
[                         11                        C]Acrylamide derivate                          57,Image 57,Tissue transglutaminase (TG2) binder,"Pd                         2                        (dba)                         3                        + PPh                         3                         THF, 100 °C                        5 min",2016,[                         62                        ]
[                         11                        C]C21                          58,Image 58,Angiotensin II receptor subtype 2 agonist,"[Rh(COD)Cl]                         2                        + PPh                         3                         THF, 120 °C                        5 min",2016,[                         128                        ]
[                         11                        C]Vemurafenib                          59,Image 59,Mutation selective serine/threonine kinase inhibitor,"Pd2(dba)3 + AsPh                         3                         THF, 100 °C                        5 min",2017,[                         65                        ]
Not named                          60,Image 60,Presynaptic histamine subtype-3 receptor candidate ligand,"Pd                         2                        (dba)                         3                        + P(                         o                        -tol)                         3                         DMSO, 130 °C                        4 min",2017,[                         74                        ]
Not named                          61,Image 61,Cytosolic phospholipase A2α (cPLA2α) inhibitor,"Pd(PPh                         3                        )                         4                         180 °C, 5 min                        THF",2018,[                         111                        ]
Not named                          62,Image 62,Brain serotonin subtype 1B receptor                        (5-HT                         1B                        ) ligand,"Pd                         2                        (dba)                         3                        Xantphos                        THF, 150 °C                        3 min",2019,[                         151                        ]
[                         11                        C]Tasisulam                          63,Image 63,Cancer drug candidate,"PdCl                         2                        (PPh                         3                        )                         2                         Xantphos                        THF, 100 °C                        5 min",2019,[                         41                        ]
[                         11                        C]ABT-199                          64,Image 64,Registered drug. Bcl-2 inhibitor,"PdCl                         2                        (PPh                         3                        )                         2                         Xantphos                        THF, 100 °C                        5 min",2019,[                         41                        ]
