Study ID,Pixel size (mm),FOV (mm),Cardiac cycle (s),Frames
#1,0.339 × 0.339 × 0.5,174 × 174 × 120,1.12,20
#2,0.395 × 0.395 × 1,202 × 202 × 120,1.40,20
#3,0.429 × 0.429 × 0.5,220 × 220 × 120,1.19,20
#4,0.339 × 0.339 × 1,174 × 174 × 100,1.15,20
#5,0.344 × 0.344 × 0.5,176 × 176 × 120,1.04,20
#6,0.334 × 0.334 × 1,171 × 171 × 120,0.91,20
#7,0.432 × 0.432 × 0.25,221 × 221 × 120,1.08,20
#8,0.376 × 0.376 × 1,193 × 193 × 100,1.17,20
#9,0.339 × 0.339 × 1,174 × 174 × 120,1.13,20
#10,0.407 × 0.407 × 0.25,208 × 208 × 120,1.14,20
#11,0.415 × 0.415 × 1,212 × 212 × 100,1.35,20
#12,0.528 × 0.528 × 0.625,270 × 270 × 160,0.98,14
#13,0.422 × 0.422 × 0.625,216 × 216 × 160,1.05,15
#14,0.510 × 0.510 × 0.625,261 × 261 × 125,1.12,16
#15,0.441 × 0.441 × 0.625,226 × 226 × 160,0.91,13
