"
Study ID","Mitral valve annulus
MabsE (mm)","Mitral valve annulus
SD (mm)","Aortic valve annulus
MabsE (mm)","Aortic valve annulus
SD (mm)"
#1,2.37,0.71,1.65,0.48
#2,2.78,1.14,1.85,0.63
#3,3.83,1.37,1.89,1.11
#4,3.33,1.32,1.24,0.64
#5,1.61,0.82,3.61,0.85
#6,3.30,1.01,1.21,0.60
#7,3.25,1.46,1.48,0.61
#8,2.23,1.28,2.17,1.35
#9,2.17,0.81,1.13,0.58
#10,4.24,1.97,1.64,0.50
#11,3.81,1.54,2.90,1.98
#12,1.33,0.34,2.55,0.60
#13,1.12,0.32,2.11,0.78
#14,1.23,0.44,1.93,0.70
#15,1.26,0.49,2.57,0.96
Mean values,2.52±1.06,,2.00±0.69,
