"

Motivational regulation strategies","Study 1
Academic performance (                         N                        = 146)
c","Study 1
Academic performance (                         N                        = 146)
c’","Study 1
Academic performance (                         N                        = 146)
ab                        (95% CI)","
Dropout intention (                         N                        = 244–245)
c","
Dropout intention (                         N                        = 244–245)
c’","
Dropout intention (                         N                        = 244–245)
ab                        (95% CI)","Study 2
Academic performance (                         N                        = 181)
c","Study 2
Academic performance (                         N                        = 181)
c’","Study 2
Academic performance (                         N                        = 181)
ab                        (95% CI)","
Dropout intention (                         N                        = 187)
c","
Dropout intention (                         N                        = 187)
c’","
Dropout intention (                         N                        = 187)
ab                        (95% CI)"
Overall strategy score,−0.35                           ⁎⁎⁎,−0.24                           ⁎,−0.11 (−0.21/−0.01),−0.15                           ⁎,−0.02,−0.13 (−0.21/−0.06),−0.19                           ⁎⁎,−0.08,−0.11 (−0.21/−0.04),−0.19                           ⁎⁎,−0.05,−0.14 (−0.25/−0.05)
Mastery self−talk,−0.33                           ⁎⁎⁎,−0.22                           ⁎,−0.12 (−0.22/−0.01),−0.15                           ⁎,−0.03,−0.12 (−0.19/−0.06),−0.17                           ⁎,−0.05,−0.11 (−0.21/−0.04),−0.22                           ⁎⁎,−0.09,−0.13 (−0.24/−0.04)
Performance−approach self−talk,−0.22                           ⁎⁎,−0.05,−0.17 (−0.29/−0.07),−0.20                           ⁎⁎,−0.09,−0.11 (−0.18/−0.03),−0.24                           ⁎⁎,−0.13,−0.11 (−0.19/−0.03),−0.29                           ⁎⁎⁎,−0.17                           ⁎,−0.12 (−0.23/−0.03)
Performance−avoidance self−talk,−0.18                           ⁎,−0.13,−0.06 (−0.12/−0.01),−0.00,0.04,−0.05 (−0.09/−0.01),−0.05,−0.02,−0.03 (−0.08/0.02),0.01,0.04,−0.03 (−0.10/0.02)
Enhancement of situational interest,−0.17                           ⁎,−0.13,−0.03 (−0.09/0.02),0.02,0.05,−0.03 (−0.07/0.01),−0.07,−0.02,−0.05 (−0.11/−0.00),−0.07,−0.01,−0.06 (−0.13/−0.00)
Enhancement of personal significance,−0.21                           ⁎⁎,−0.17                           ⁎,−0.04 (−0.10/0.01),−0.02,0.01,−0.04 (−0.08/−0.00),−0.21                           ⁎⁎,−0.15                           ⁎,−0.06 (−0.12/−0.01),−0.20                           ⁎⁎,−0.13,−0.07 (−0.16/−0.01)
Environmental control,−0.12,−0.03,−0.09 (−0.16/−0.03),−0.10,−0.02,−0.09 (−0.14/−0.04),−0.07,0.08,−0.15 (−0.24/−0.06),0.00,0.20                           ⁎⁎,−0.20 (−0.31/−0.10)
Proximal goal setting,−0.18                           ⁎,−0.05,−0.13 (−0.21/−0.06),−0.15                           ⁎,−0.06,−0.09 (−0.15/−0.04),−0.15                           ⁎,−0.07,−0.08 (−0.15/−0.03),−0.15                           ⁎,−0.05,−0.10 (−0.18/−0.03)
Self−consequating,−0.15,−0.09,−0.06 (−0.12/−0.01),−0.09,−0.02,−0.07 (−0.11/−0.03),−0.06,0.04,−0.10 (−0.17/−0.04),−0.08,0.03,−0.11 (−0.19/−0.04)
