Variables,Not prolonged                        n                        =                        2841 (%),Prolonged                        n                        =                        470 (%),P- value
Maternal age (years)                        < 25 years                        25-34                        ≥ 35,542 (19.1)                        1715 (60.4)                        584 (20.6),66 (14.0)                        299 (63.6)                        105 (22.3),.03
Parity                        Nulliparous                        Parous,1100 (38.7)                        1741 (61.3),286 (60.9)                        184 (39.1),< .01
"BMI (kg/ m                           2                          )                        < 18,5                        18,5 -24,9                        25,0-29,9                        > 30,0                        Missing",307 (10.8)                        1588 (55.9)                        563 (19.8)                        350 (12.3)                        33 (1.2),39 (8.3)                        289 (61.5)                        97 (20.6)                        39 (8.3)                        6 (1.3),.03
Gestational age (weeks)                        37- 38                        39- 40                        41- 42,397 (14.0)                        1572 (55.3)                        872 (30.7),54(11.5)                        236 (50.2)                        180 (38.3),< .01
Induction of labor,591 (20.8),101 (21.5),.73
Prolonged 1                         st                        stage of labor,225 (9.0),80 (17.0),<.01
Oxytocin in 1                         st                         stage,440 (15.5),90 (19.1),.05
EA in first stage,543 (19.1),119 (25.3),<.01
Fetal birthweight > 4000                        g,488 (17.2),121 (25.7),<.01
Station of fetal head at complete cervical dilation                        At pelvic floor                        Beneath ischial spines                        At/above ischial spines,1528 (53.8)                        815 (28.7)                        498 (17.5),25 (5.3)                        170 (36.2)                        275 (58.5),< .01
