Fatty acid,CTRL,ARA
14:0,2.4 ± 0.2,2.4 ± 0.1
16:0,12.1 ± 0.2,12.5 ± 0.3
18:0,2.7 ± 0.1,3.1 ± 0.3
22:0,1.2 ± 1.0,1.0 ± 0.9
Total SFA,18.5 ± 0.4,19.3 ± 0.3
16:1n-7,3.3 ± 0.2,3.1 ± 0.2
18:1n-9,33.9 ± 1.2,32.6 ± 0.8
18:1n-7,3.3 ± 0.9,3.2 ± 0.9
20:1n-9,2.8 ± 0.2,2.5 ± 0.1
Total MUFA,46.8 ± 2.5,45.3 ± 2.6
18:2n-6                           a,15.6 ± 0.2,15.2 ± 0.2
20:4 n-6                           a,0.4 ± 0.0,3.0 ± 1.1
Total n-6                           a,17.1 ± 0.5,19.5 ± 1.3
18:3n-3,4.5 ± 0.0,4.0 ± 0.1
20:5n-3,3.1 ± 0.2,2.9 ± 0.2
22:6n-3,4.2 ± 0.3,3.8 ± 0.5
Total n-3,14.1 ± 0.7,12.7 ± 0.2
Total PUFA,31.6 ± 0.5,32.8 ± 0.8
Total n-3/Total n-6,0.7 ± 0.2,0.6 ± 0.1
EPA + DHA,7.3 ± 0.5,6.8 ± 0.7
DHA/EPA,1.3 ± 0.0,1.3 ± 0.1
EPA/AA,8.4 ± 0.5,1.1 ± 0.3
HUFA,10.1 ± 0.9,12.1 ± 1.8
