Study and year,Country,Surgery type,Type of graft,Sample size,"Males, n (%)","Mean duration of follow-up, months",Randomization,"Mean age, years"
Agrawel 2015,India,NR,Autogenic,51,15 (29.41%),26,No,NR
Al-Qattan 2007,Saudi Arabia,Open,Autogenic,21,3 (14.29%),48,No,31
Baek 2010,Korea,Open,Autogenic,28,17 (60.71%),12,No,NR
Cakmak 2002,Turkey,Open,Autogenic,20,12 (60.00%),20,No,30
Cerkes and Basran 2016,Turkey,Open,Autogenic,109,46 (42.20%),19.6,No,27
Draf 2003,Germany,Combined Approach,Autogenic,10,NR,7.5,No,17
Gu 2018,China,Closed,Alloplastic,76,4 (5.26%),106,Yes,31
Gurlek 2006,Turkey,Open,Alloplastic,15,NR,16,No,32
Jiang 2013,China,Closed,Alloplastic,19,15 (78.95%),10.5,No,32.2
Karaaltin 2012,Turkey,Open,Autogenic,23,14 (60.87%),24.5,No,29
Kayabasoglu 2015,Turkey,NR,Autogenic,23,NR,16,No,34
Khorasani 2018,Iran,NR,Alloplastic,16,3 (18.75%),6,No,26.3
Kim 2011,Korea,NR,Alloplastic,38,7 (18.42%),2.5,No,28.5
Kim and Kim 2013,South Korea,Open,Autogenic,58,40 (68.97%),5.5,No,NR
Lee 2018,Korea,NR,Alloplastic,12,4 (33.33%),22.25,No,24.5
Lee and Ham 1999,Korea,Closed,Autogenic,47,NR,2.5,No,6.5
Li 2010,China,Open,Autogenic,26,NR,9.6,No,29
Li 2018,China,Open,Alloplastic,17,12 (70.59%),18,No,NR
Lin 2006,China,Open,Autogenic,19,3 (15.79%),20,No,
Ma 2015,China,Closed,Autogenic,22,NR,8.9,No,26.8
Riechelmann 2004,Germany,Open,Autogenic,43,11 (25.58%),24,No,36
Shubailat 2003,Jordan,Open,Autogenic,47,13 (27.66%),96,No,NR
Swaroop 2018,India,Open,Autogenic,10,15 (29.41%),6.5,No,NR
Tastan 2013,Turkey,Closed,Autogenic,69,3 (14.29%),NR,No,NR
Tastan-Sozen 2013,Turkey,Closed,Autogenic,43,17 (60.71%),19.2,No,NR
Turegun 1998,Turkey,Closed,Alloplastic,14,12 (60.00%),30,No,NR
Turegun 2008,Turkey,Closed,Alloplastic,36,46 (42.20%),14,No,NR
Wang 2013,China,Open,Combined Autogenic and Alloplastic,46,NR,10,No,34
Yazar 2015,Turkey,Open,Autogenic,17,4 (5.26%),19,No,24
Yilmaz 2007,Turkey,NR,Autogenic,38,NR,27.4,No,NR
