Stations,Adigudem,Debub,Dengolat,Finarawa,Gijet,Hashenge,Maichew,Wedisemero,Hiwane,Borra
Adigudom,1 (0),,,,,,,,,
Debub,0.32 (23),1 (0),,,,,,,,
Dengolet,0.38 (23),0.26 (44),1 (0),,,,,,,
Finarawa,0.22 (55),0.29 (67),0.21 (40),1 (0),,,,,,
Gijet,0.32 (37),0.27 (57),0.40 (15),0.15 (31),1 (0),,,,,
Hashenge,0.28 (71),0.32 (54),0.36 (82),0.22 (76),0.26 (88),1 (0),,,,
Maichew,0.32 (51),0.42 (35),0.27 (63),0.31 (65),0.28 (72),0.44 (20),1 (0),,,
Wedisemro,0.42 (57),0.32 (48),0.34 (62),0.18 (50),0.29 (65),0.32 (26),0.33 (22),1 (0),,
Hewane,0.46 (15),0.34 (16),0.32 (30),0.28 (51),0.22 (42),0.33 (56),0.40 (36),0.40 (42),1 (0),
Bora,0.34 (44),0.20 (39),0.37 (47),0.25 (41),0.30 (52),0.31 (37),0.20 (24),0.39 (14),0.34 (30),1 (0)
