Parameter,Description,WASP-52b,HAT-P-23b
M                         ∗                        . . . . . .,Mass (M) . . . . . . . . . . . . . . . . . . .,0                                  .                                  844                                      −                                    0                                      .                                    034                                        +                                    0                                      .                                    042,1                                  .                                  063                                      −                                    0                                      .                                    060                                        +                                    0                                      .                                    063
R                         ∗                        . . . . . .,Radius (R) . . . . . . . . . . . . . . . . . .,0.836 ± 0.013,1                                  .                                  157                                      −                                    0                                      .                                    022                                        +                                    0                                      .                                    023
L                         ∗                        . . . . . .,Luminosity (L) . . . . . . . . . . . . . . .,0.399 ± 0.013,1                                  .                                  460                                      −                                    0                                      .                                    079                                        +                                    0                                      .                                    087
ρ                         ∗                        . . . . . . .,Density (cgs). . . . . . . . . . . . . . . .,2                                  .                                  04                                      −                                    0                                      .                                    21                                        +                                    0                                      .                                    14,0                                  .                                  967                                      −                                    0                                      .                                    069                                        +                                    0                                      .                                    075
log                         g                        . . . .,Surface gravity (cgs) . . . . . . . . . .,4                                  .                                  52                                      −                                    0                                      .                                    021                                        +                                    0                                      .                                    024,4.338 ± 0.028
T                         eff                        . . . . .,Effective Temperature (K) . . . . .,5017 ± 41,5899                                  −                                  68                                    +                                71
[Fe/H] . .,Metallicity (dex). . . . . . . . . . . . .,0.13 ± 0.11,0.150 ± 0.015
Age . . . . .,Age (Gyr). . . . . . . . . . . . . . . . . . .,8                                  .                                  5                                      −                                    4                                      .                                    6                                        +                                    3                                      .                                    7,5                                  .                                  5                                      −                                    2                                      .                                    5                                        +                                    3                                      .                                    0
A                          V                        . . . . . .,V-band extinction (mag). . . . . . .,0                                  .                                  060                                      −                                    0                                      .                                    039                                        +                                    0                                      .                                    034,0                                  .                                  132                                      −                                    0                                      .                                    072                                        +                                    0                                      .                                    079
d                        . . . . . . .,Distance (pc). . . . . . . . . . . . . . . ..,173.1 ± 1.6,360                                  .                                  0                                      −                                    5                                      .                                    8                                        +                                    6                                      .                                    0
R                         P                        . . . . . .,Planetary Radius (R                         J                        ) . . . . . . . . .,1.322 ± 0.026,1                                  .                                  308                                      −                                    0                                      .                                    043                                        +                                    0                                      .                                    044
M                         P                        . . . . . .,Planetary Mass (M                         J                        ) . . . . . . . . . .,0                                  .                                  446                                      −                                    0                                      .                                    024                                        +                                    0                                      .                                    025,1.92 ± 0.13
a                        . . . . . . . .,Semi-major axis (AU). . . . . . . . .,0                                  .                                  02686                                      −                                    0                                      .                                    00037                                        +                                    0                                      .                                    00044,0.02273 ± 0.00044
i                        . . . . . . . .,Inclination (Degrees). . . . . . . . . .,84.90 ± 0.24,83                                  .                                  60                                      −                                    0                                      .                                    61                                        +                                    0                                      .                                    67
e                        . . . . . . . .,Eccentricity . . . . . . . . . . . . . . . . .,0                                  .                                  05                                      −                                    0                                      .                                    027                                        +                                    0                                      .                                    026,0                                  .                                  027                                      −                                    0                                      .                                    019                                        +                                    0                                      .                                    029
ω                         ∗                        . . . . . .,Argument of Periastron (Degrees) . .,85                                  −                                  4                                    .                                  6                                      +                                  3                                    .                                  7,178                                  −                                  91                                    +                                93
T                           eq                          . . . . . .,Equilibrium temperature (K). . .,1349                                  −                                  14                                    +                                13,2029                                  −                                  28                                    +                                29
τ                         circ                        . . . . .,Tidal circularisation timescale (Gyr),0                                  .                                  00402                                      −                                    0                                      .                                    00055                                        +                                    0                                      .                                    00052,0                                  .                                  00435                                      −                                    0                                      .                                    00074                                        +                                    0                                      .                                    00090
K                        . . . . . . .,RV semi-amplitude (m/s) . . . . .,83                                  .                                  8                                      −                                    3                                      .                                    9                                        +                                    4                                      .                                    0,349                                  −                                  20                                    +                                19
R                         P                        /R                         ∗                        . . .,Radius of planet in stellar radii .,0.1625 ± 0.0021,0                                  .                                  1162                                      −                                    0                                      .                                    0029                                        +                                    0                                      .                                    0030
a/R                         ∗                        . . . .,Semi-major axis in stellar radii .,6                                  .                                  91                                      −                                    0                                      .                                    13                                        +                                    0                                      .                                    15,4                                  .                                  22                                      −                                    0                                      .                                    10                                        +                                    0                                      .                                    11
δ. . . . . . . .,Transit depth (fraction). . . . . . .,0.02640 ± 0.00069,0                                  .                                  01350                                      +                                    0                                      .                                    00067                                        +                                    0                                      .                                    00069
τ. . . . . . . .,Ingress/egress transit duration (days),0                                  .                                  01589                                      −                                    0                                      .                                    00071                                        +                                    0                                      .                                    00073,0                                  .                                  01243                                      −                                    0                                      .                                    00078                                        +                                    0                                      .                                    00081
T                         14                        . . . . . .,Total transit duration (days). . . .,0                                  .                                  07795                                      −                                    0                                      .                                    00066                                        +                                    0                                      .                                    00069,0                                  .                                  09406                                      −                                    0                                      .                                    00088                                        +                                    0                                      .                                    00089
TFWHM . .,FWHM transit duration (days) .,0.06206 ± 0.00039,0                                  .                                  08616                                      −                                    0                                      .                                    00041                                        +                                    0                                      .                                    00042
b. . . . . . . .,Transit Impact parameter . . . . .,0                                  .                                  590                                      −                                    0                                      .                                    021                                        +                                    0                                      .                                    019,0                                  .                                  472                                      −                                    0                                      .                                    046                                        +                                    0                                      .                                    039
ρ                           P                          . . . . . .,Density (cgs). . . . . . . . . . . . . . . .,0                                  .                                  239                                      −                                    0                                      .                                    019                                        +                                    0                                      .                                    020,1                                  .                                  06                                      −                                    0                                      .                                    12                                        +                                    0                                      .                                    13
logg                         P                        . . . .,Surface gravity . . . . . . . . . . . . . .,2.801 ± 0.029,3.445 ± 0.040
Θ . . . . . . .,Safronov Number . . . . . . . . . . . .,0.0214 ± 0.011,0                                  .                                  0628                                      −                                    0                                      .                                    0040                                        +                                    0                                      .                                    0041
h                         F                        i . . . . .,Incident Flux (cgs). . . . . . . . . . . .,0.75 ± 0.029,3                                  .                                  85                                      −                                    0                                      .                                    21                                        +                                    0                                      .                                    23
e                        cosω                         ∗                        .,. . . . . . . . . . . . . . . . . . . . . . . . . . .,0                                  .                                  002                                      −                                    0                                      .                                    021                                        +                                    0                                      .                                    023,−                                0                                    .                                  008                                      −                                    0                                      .                                    030                                        +                                    0                                      .                                    017
e                        sinω                         ∗                        . .,. . . . . . . . . . . . . . . . . . . . . . . . . . .,0                                  .                                  042                                      −                                    0                                      .                                    029                                        +                                    0                                      .                                    027,0                                  .                                  000                                      −                                    0                                      .                                    024                                        +                                    0                                      .                                    023
u                          1                        (B). . .,linear limb-darkening coeff (B) .,0.882 ± 0.051,-
u                          1                        (V) . . .,linear limb-darkening coeff (V),-,0.425 ± 0.048
u                          1                        (R). . .,linear limb-darkening coeff (R),0.532 ± 0.018,0.351 ± 0.016
u                          2                        (B). . .                         u                          2                        (V) . . .                         u                          2                        (R). . .,quadratic limb-darkening coeff (B) . quadratic limb-darkening coeff (V) . quadratic limb-darkening coeff (R) .,−0.026 ± 0.051 – 0.180 ± 0.017,– 0.252 ± 0.049 0.288 ± 0.014
