"
Semantic feature","
Average MI","Sorted target class-mutual information pairs
Class 1","Sorted target class-mutual information pairs
Class 2","Sorted target class-mutual information pairs
Class 3","Sorted target class-mutual information pairs
Class 4","Sorted target class-mutual information pairs
Class 5"
BBC News data set,,,,,,
tory.n.03,0.057,politics:0.14,entertainment:0.05,business:0.03,sport:0.01,x
movie.n.01,0.059,business:0.14,politics:0.04,entertainment:0.04,sport:0.02,x
conservative.n.01,0.061,politics:0.15,entertainment:0.05,business:0.03,sport:0.01,x
vote.n.02,0.061,business:0.15,entertainment:0.04,politics:0.04,sport:0.02,x
election.n.01,0.063,entertainment:0.16,business:0.05,politics:0.04,sport:0.0,x
topology.n.04,0.063,entertainment:0.16,business:0.05,politics:0.04,sport:0.0,x
mercantile_establishment.n.01,0.068,politics:0.17,business:0.07,entertainment:0.03,sport:0.01,x
star_topology.n.01,0.069,politics:0.17,business:0.07,entertainment:0.03,sport:0.01,x
rightist.n.01,0.074,politics:0.18,business:0.06,entertainment:0.04,sport:0.01,x
marketplace.n.02,0.087,entertainment:0.22,business:0.06,politics:0.05,sport:0.01,x
PAN (Age) data set,,,,,,
hippie.n.01,0.007,25-34:0.01,35-49:0.01,18-24:0.0,65-xx:0.0,50-64:0.0
ceremony.n.03,0.007,25-34:0.01,35-49:0.01,18-24:0.01,65-xx:0.0,50-64:0.0
resource.n.02,0.008,50-64:0.02,18-24:0.01,25-34:0.0,65-xx:0.0,35-49:0.0
draw.v.07,0.008,25-34:0.02,35-49:0.01,50-64:0.01,65-xx:0.0,18-24:0.0
observation.n.02,0.008,25-34:0.02,35-49:0.01,50-64:0.01,65-xx:0.0,18-24:0.0
wine.n.01,0.008,35-49:0.02,25-34:0.01,18-24:0.01,50-64:0.01,65-xx:0.0
suck.v.02,0.008,25-34:0.02,50-64:0.02,35-49:0.0,65-xx:0.0,18-24:0.0
sleep.n.03,0.008,25-34:0.02,50-64:0.02,35-49:0.0,65-xx:0.0,18-24:0.0
recognize.v.09,0.009,25-34:0.02,35-49:0.02,18-24:0.0,50-64:0.0,65-xx:0.0
weather.v.04,0.009,25-34:0.02,50-64:0.02,35-49:0.0,18-24:0.0,65-xx:0.0
invention.n.02,0.009,25-34:0.02,35-49:0.01,18-24:0.01,50-64:0.0,65-xx:0.0
yankee.n.03,0.01,50-64:0.02,18-24:0.01,25-34:0.01,35-49:0.0,65-xx:0.0
