Band,HAT-P-23,WASP-52,Catalogue
B(T),13.362 ± 0.378,-,Tycho
V(T),12.061 ± 0.195,-,Tycho
B,12.965 ± 0.036,13.116 ± 0.042,APASS R10
V,12.189 ± 0.047,12.231 ± 0.062,APASS R10
gSDSS,12.586 ± 0.043,12.617 ± 0.025,APASS R10
rSDSS,11.969 ± 0.089,11.901 ± 0.095,APASS R10
iSDSS,11.774 ± 0.143,11.698 ± 0.047,APASS R10
J,11.103 ± 0.020,10.588 ± 0.020,2MASS(via UCAC4)
H,10.846 ± 0.020,10.186 ± 0.030,2MASS(via UCAC4)
K,10.791 ± 0.020,10.086 ± 0.030,2MASS(via UCAC4)
WISE1,10                                  .                                  748                                      −                                    0                                      .                                    023                                        +                                    0                                      .                                    030,10                                  .                                  011                                      −                                    0                                      .                                    020                                        +                                    0                                      .                                    030,AllWISE
WISE2,10                                  .                                  793                                      −                                    0                                      .                                    20                                        +                                    0                                      .                                    30,10                                  .                                  094                                      −                                    0                                      .                                    021                                        +                                    0                                      .                                    030,AllWISE
WISE3,10.816 ± 0.122,9.983 ± 0.061,AllWISE
Gaia,12                                  .                                  174                                      −                                    0                                      .                                    001                                        +                                    0                                      .                                    020,11                                  .                                  954                                      −                                    0                                      .                                    001                                        +                                    0                                      .                                    20,Gaia DR2
GaiaBP,12                                  .                                  518                                      −                                    0                                      .                                    002                                        +                                    0                                      .                                    020,12                                  .                                  444                                      −                                    0                                      .                                    004                                        +                                    0                                      .                                    020,Gaia DR2
GaiaRP,11                                  .                                  679                                      −                                    0                                      .                                    002                                        +                                    0                                      .                                    020,11                                  .                                  331                                      −                                    0                                      .                                    003                                        +                                    0                                      .                                    020,Gaia DR2
