Urbanisation index,50 m,100 m,200 m,500 m,1000 m
50 m,1.000,0.954,0.784,0.586,0.376
100 m,,1.000,0.919,0.730,0.448
200 m,,,1.000,0.875,0.535
500 m,,,,1.000,0.826
1000 m,,,,,1.000
pH,-0.017,0.171,0.286,0.422,0.467
Dissolved oxygen,-0.135,-0.186,-0.372,-0.375,-0.293
TDS,-0.034,0.183,0.495,0.607,0.533
Nitrate,-0.187,0.033,0.185,0.168,0.035
Phosphate,-0.082,0.150,0.493,0.551,0.357
Light intensity,0.528,0.535,0.476,0.490,0.583
% Macrophyte,0.490,0.429,0.390,0.392,0.472
% Canopy cover,-0.516,-0.514,-0.468,-0.459,-0.542
% Leaf litter,-0.133,-0.187,-0.258,-0.299,-0.206
% Grass,0.391,0.498,0.550,0.601,0.683
% Shrub,-0.082,-0.184,-0.225,-0.245,-0.303
% Tree,-0.455,-0.498,-0.526,-0.577,-0.612
% Mud,-0.005,-0.028,-0.051,-0.113,-0.036
% Sand,0.079,0.078,0.105,0.101,-0.135
% Gravel and concrete,-0.108,-0.071,-0.077,0.023,0.255
