"
Site","Forest
1","Forest
2","Forest
3","Forest
4","Buffer
5","Buffer
6","Buffer
7","Urban
8","Urban
9","Urban
10","Urban
11"
Latitude (N),"1°22'30.6""","1°22'59.7""","1°22'56.6""","1°21'03.9""","1°21'38.4""","1°21'52.7""","1°24'0.7""","1°19'59.3""","1°19'26.1""","1°23'34.6""","1°24'56.4"""
Longitude (E),"103°49'28.2""","103°46'46.9""","103°47'14.6""","103°46'53.8""","103°49'28.2""","103°46'41.5""","103°48'40.0""","103°49'44.0""","103°44'47.8""","103°51'02.9""","103°49'30.4"""
Urbanisation index,0.092 ± 0.005,0.062 ± 0.003,0.000 ± 0.000,0.078 ± 0.003,0.459 ± 0.002,0.351 ± 0.006,0.344 ± 0.002,0.693 ± 0.009,0.707 ± 0.001,0.321 ± 0.003,0.321 ± 0.005
Mean stream width (m),1.50 ± 0.38,1.86 ± 0.11,1.00 ± 0.02,1.02 ± 0.17,1.65 ± 0.47,1.31 ± 0.19,1.08 ± 0.11,1.04 ± 0.06,0.87 ± 0.09,1.71 ± 0.34,1.85 ± 0.30
Mean water depth (cm),9.38 ± 1.72,24.94 ± 3.35,5.81 ± 0.58,7.50 ± 1.62,10.75 ± 3.10,4.06 ± 0.62,19.56 ± 2.90,23.13 ± 4.88,16.94 ± 3.68,16.75 ± 1.90,13.69 ± 2.13
Mean velocity (cm s                                 -1                                ),1 ± 1,0 ± 0,4 ± 1,14 ± 3,7 ± 3,16 ± 2,8 ± 2,9 ± 3,2 ± 1,4 ± 2,6 ± 2
Water temperature (°C),27.6 ± 0.4,26.2 ± 0.0,26.2 ± 0.0,25.8 ± 0.0,25.4 ± 0.0,26.8 ± 0.0,26.2 ± 0.0,27.9 ± 0.4,27.6 ± 0.3,31.8 ± 0.1,30.0 ± 0.1
pH,5.78 ± 0.14,5.50 ± 0.01,5.46 ± 0.03,6.47 ± 0.29,6.30 ± 0.01,6.71 ± 0.11,5.84 ± 0.05,6.30 ± 0.07,7.05 ± 0.01,8.31 ± 0.02,6.74 ± 0.02
Dissolved oxygen (mg L                                 -1                                ),3.61 ± 0.74,3.38 ± 0.26,5.13 ± 0.23,6.30 ± 0.26,4.74 ± 0.12,6.85 ± 0.05,4.84 ± 0.12,3.55 ± 0.97,0.30 ± 0.09,7.82 ± 0.15,4.26 ± 0.33
Conductivity (μS cm                                 -1                                ),24.2 ± 1.5,20.0 ± 0.3,17.2 ± 0.1,43.8 ± 1.3,64.3 ± 0.2,62.6 ± 0.9,57.2 ± 0.5,94.4 ± 2.2,586.0 ± 3.3,273.4 ± 29.1,305.9 ± 20.8
Total dissolved solids (g L                                 -1                                ),0.015 ± 0.001,0.013 ± 0.000,0.011 ± 0.000,0.028 ± 0.001,0.039 ± 0.003,0.039 ± 0.000,0.036 ± 0.000,0.058 ± 0.001,0.362 ± 0.002,0.157 ± 0.017,0.181 ± 0.013
Nitrate (mg L                                 -1                                ),0.10 ± 0.03,0.08 ± 0.00,0.09 ± 0.01,1.57 ± 0.06,0.07 ± 0.01,2.02 ± 0.09,0.11 ± 0.03,0.28 ± 0.02,1.39 ± 0.23,1.87 ± 0.20,0.43 ± 0.04
Phosphate (ppm),0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,0.02 ± 0.01,0.02 ± 0.01,0.06 ± 0.04,0.00 ± 0.00,0.01 ± 0.01,0.77 ± 0.05,0.11 ± 0.04,0.13 ± 0.08
Light intensity (μmol m                                 -2                                s                                 -1                                ),84 ± 27,223 ± 203,39 ± 8,93 ± 56,230 ± 129,37 ± 9,834 ± 171,1439 ± 393,574 ± 202,1250 ± 134,1320 ± 179
% Macrophyte,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,38 ± 3,43 ± 8,14 ± 6,5 ± 0,60 ± 18
% Canopy cover,95 ± 1,92 ± 7,96 ± 1,95 ± 1,96 ± 2,95 ± 1,34 ± 7,28 ± 11,66 ± 13,26 ± 3,12 ± 3
% Leaf litter,64 ± 19,55 ± 13,14 ± 3,20 ± 5,26 ± 18,23 ± 4,19 ± 9,21 ± 11,12 ± 2,11 ± 2,6 ± 1
% Grass,0 ± 0,1 ± 1,0 ± 0,0 ± 0,0 ± 0,0 ± 0,4 ± 2,95 ± 5,72 ± 8,92 ± 3,98 ± 3
% Shrub,11 ± 7,75 ± 11,49 ± 6,29 ± 7,69 ± 7,48 ± 8,91 ± 4,3 ± 3,17 ± 6,8 ± 3,0 ± 0
% Tree,89 ± 7,24 ± 11,51 ± 6,71 ± 7,31 ± 7,52 ± 8,5 ± 5,2 ± 2,11 ± 7,0 ± 0,2 ± 2
% Mud,85 ± 5,80 ± 7,15 ± 5,20 ± 5,29 ± 7,15 ± 5,9 ± 1,49 ± 12,42 ± 3,5 ± 2,9 ± 4
% Sand,15 ± 5,20 ± 7,85 ± 5,80 ± 5,71 ± 7,85 ± 5,90 ± 2,51 ± 12,58 ± 3,49 ± 4,56 ± 17
% Gravel and concrete,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,0 ± 0,1 ± 1,0 ± 0,0 ± 0,46 ± 5,35 ± 19
Photo in Fig. A.1,A,B,C,D,E,F,G,H,I,J,K
