Study,Country,CAPA*,Aspergillus species,Aspergillus species in culture,Serum or BAL GM positive,BAL Aspergillus PCR positive,Initial Antifungal Therapy,In-hospital mortality
"Alanio, 2020 [                         8                        ]",France,9/27,A. fumigatus                        (7/9),7/9,3/9,4/9,VOR (1/9)                        CAS (1/9)                        None (7/9),4/9
"Koehler, 2020 [                         9                        ]",Germany,5/19,A. fumigatus                        (5/5),3/5,4/5,4/5,VOR (2/5)                        ISA (1/5)                        CAS (2/5),3/5
"Rutsaert, 2020 [                         10                        ]",The Netherlands,7/34,A. fumigatus                        (5/7)                          A. flavus                        (1/7),6/7,6/7,NR,VOR (4/7)                        VOR/ISA (2/7)                        None (1/7),4/7
"Nasir, 2020 [                         11                        ]",Pakistan,5/23,A. flavus                        (3/5)                          A. niger                        (1/5)                          A. fumigatus and A. flavus                        (1/5),5/5,0/5,NR,VOR (3/5)                        AmB-d (2/5),3/5
"van Arkel, 2020 [                         12                        ]",The Netherlands,6/31,A. fumigatus                        (6/6),5/6,3/6,NR,VOR plus AND (5/6)                        L-AmB (1/6),4/6
"Blaize, 2020 [                         13                        ]",France,1/1,A. fumigatus,1/1,0/1,1/1,None,1/1
"Lahmer, 2020 [                         14                        ]",Germany,2/2,A. fumigatus                        (2/2),2/2,2/2,NR,L-AmB (2/2),2/2
"Wang, 2020 [                         15                        ]",China,8/104,A. fumigatus,8/8,NR,NR,NR,NR
"Antinori, 2020 [                         16                        ]",Italy,1/1,A. fumigatus,1/1,1/1,1/1,L-AmB,1/1
"Ferreira, 2020 [                         17                        ]",France,1/1,A. fumigatus,1/1,0/1,1/1,None,1/1
"Meijer, 2020 [                         18                        ]",France,1/1,A. fumigatus,1/1,1/1,NR,VOR plus CAS,1/1
"Prattes, 2020 [                         19                        ]",Austria,1/1,A. fumigatus,1/1,0/1,NR,VOR,1/1
"Sharma, 2020 [                         20                        ]",Australia,1/1,A. fumigatus,1/1,NR,NR,VOR,0/1
