"Exp. Points
Exp. Points
Exp. Points","Standard Mass
Standard Mass
g","ASCENDING LOAD
Mass indicated by the scale
g","ASCENDING LOAD
Environmental Temperature
°C","ASCENDING LOAD
Atmospheric Pressure
mbar/abs","DESCENDING LOAD
Mass indicated by the scale
g","DESCENDING LOAD
Environmental Temperature
°C","DESCENDING LOAD
Atmospheric Pressure
mbar/abs"
1,0.0,−73.6239,32.8,1001,−73.6145,29.8,1000
2,0.5,−73.1240,32.8,1001,−73.1155,30.4,1002
3,2.5,−71.1238,32.5,1001,−71.1165,30.4,1002
4,4.5,−69.1240,32.0,1001,−69.1166,30.4,1002
5,6.5,−67.1233,31.7,1001,−67.1175,30.4,1002
6,8.5,−65.1234,31.5,1001,−65.1179,30.4,1002
7,10.5,−63.1233,31.4,1002,−63.1175,30.4,1002
8,12.5,−61.1235,31.3,1001,−61.1182,30.4,1002
9,14.5,−59.1237,31.3,1002,−59.1178,30.4,1002
10,16.5,−57.1233,31.2,1002,−57.1189,30.4,1002
11,18.5,−55.1236,31.2,1002,−55.1192,30.4,1002
12,20.5,−53.1231,31.2,1002,−53.1204,30.4,1001
13,22.5,−51.1234,31.1,1002,−51.1199,30.4,1001
14,24.5,−49.1232,31.1,1002,−49.1206,30.4,1001
15,26.5,−47.1232,31.1,1002,−47.1210,30.4,1001
16,28.5,−45.1233,31.1,1002,−45.1212,30.4,1001
17,30.5,−43.1233,31.0,1002,−43.1210,30.4,1001
18,32.5,−41.1235,31.0,1002,−41.1215,30.4,1001
19,34.5,−39.1233,30.9,1002,−39.1229,30.4,1001
20,36.5,−37.1235,30.9,1002,−37.1227,30.4,1001
21,38.5,−35.1232,30.9,1002,−35.1223,30.4,1001
22,40.5,−33.1217,30.9,1002,−33.1230,30.4,1001
23,42.5,−31.1218,30.8,1002,−31.1220,30.4,1001
24,44.5,−29.1215,30.8,1002,−29.1229,30.4,1001
25,46.5,−27.1216,30.8,1002,−27.1229,30.4,1001
26,48.5,−25.1216,30.8,1002,−25.1230,30.4,1001
27,50.5,−23.1216,30.7,1002,−23.1230,30.4,1001
28,52.5,−21.1217,30.7,1002,−21.1228,30.4,1001
29,54.5,−19.1219,30.7,1002,−19.1232,30.4,1001
30,56.5,−17.1218,30.6,1002,−17.1229,30.4,1001
31,58.5,−15.1218,30.6,1002,−15.1227,30.4,1001
32,60.5,−13.1218,30.5,1002,−13.1230,30.4,1001
