"Exp. Points
Exp. Points
","ASCENDING LOAD
Indicated Mass
g","ASCENDING LOAD
Ajusted Mass
G","DESCENDING LOAD
Indicated Mass
g","DESCENDING LOAD
Ajusted Mass
g","UNCERTAINTY ANALYSIS
Adjusted Uncertainty
g","UNCERTAINTY ANALYSIS
Standard Mass Uncertainty
g","UNCERTAINTY ANALYSIS
Resolution Uncertainty
g","UNCERTAINTY ANALYSIS
Combined Uncertainty
g","UNCERTAINTY ANALYSIS
Expanded Uncertainty
g"
1,−73.6239,0.0003,−73.6145,0.0097,0.00280,0.0000000,0.000029,0.0028,0.0055
2,−73.1240,0.5028,−73.1155,0.5113,0.00280,0.0000042,0.000029,0.0028,0.0055
3,−71.1238,2.5134,−71.1165,2.5207,0.00280,0.0000077,0.000029,0.0028,0.0055
4,−69.1240,4.5236,−69.1166,4.5310,0.00280,0.0000101,0.000029,0.0028,0.0055
5,−67.1233,6.5347,−67.1175,6.5405,0.00280,0.0000107,0.000029,0.0028,0.0055
6,−65.1234,8.5450,−65.1179,8.5505,0.00280,0.0000125,0.000029,0.0028,0.0055
7,−63.1233,10.5555,−63.1175,10.5613,0.00280,0.0000108,0.000029,0.0028,0.0055
8,−61.1235,12.5657,−61.1182,12.5710,0.00280,0.0000126,0.000029,0.0028,0.0055
9,−59.1237,14.5759,−59.1178,14.5818,0.00280,0.0000142,0.000029,0.0028,0.0055
10,−57.1233,16.5867,−57.1189,16.5911,0.00280,0.0000146,0.000029,0.0028,0.0055
11,−55.1236,18.5968,−55.1192,18.6012,0.00280,0.0000160,0.000029,0.0028,0.0055
12,−53.1231,20.6077,−53.1204,20.6104,0.00280,0.0000141,0.000029,0.0028,0.0055
13,−51.1234,22.6178,−51.1199,22.6213,0.00280,0.0000155,0.000029,0.0028,0.0055
14,−49.1232,24.6284,−49.1206,24.6310,0.00280,0.0000169,0.000029,0.0028,0.0055
15,−47.1232,26.6388,−47.1210,26.6410,0.00280,0.0000167,0.000029,0.0028,0.0055
16,−45.1233,28.6491,−45.1212,28.6512,0.00280,0.0000179,0.000029,0.0028,0.0055
17,−43.1233,30.6595,−43.1210,30.6618,0.00280,0.0000173,0.000029,0.0028,0.0055
18,−41.1235,32.6697,−41.1215,32.6717,0.00280,0.0000185,0.000029,0.0028,0.0055
19,−39.1233,34.6803,−39.1229,34.6807,0.00280,0.0000196,0.000029,0.0028,0.0055
20,−37.1235,36.6905,−37.1227,36.6913,0.00280,0.0000199,0.000029,0.0028,0.0055
21,−35.1232,38.7012,−35.1223,38.7021,0.00280,0.0000210,0.000029,0.0028,0.0055
22,−33.1217,40.7131,−33.1230,40.7118,0.00280,0.0000195,0.000029,0.0028,0.0055
23,−31.1218,42.7234,−31.1220,42.7232,0.00280,0.0000206,0.000029,0.0028,0.0055
24,−29.1215,44.7341,−29.1229,44.7327,0.00280,0.0000216,0.000029,0.0028,0.0055
25,−27.1216,46.7444,−27.1229,46.7431,0.00280,0.0000219,0.000029,0.0028,0.0055
26,−25.1216,48.7548,−25.1230,48.7534,0.00280,0.0000228,0.000029,0.0028,0.0055
27,−23.1216,50.7652,−23.1230,50.7638,0.00280,0.0000170,0.000029,0.0028,0.0055
28,−21.1217,52.7755,−21.1228,52.7744,0.00280,0.0000182,0.000029,0.0028,0.0055
29,−19.1219,54.7857,−19.1232,54.7844,0.00280,0.0000193,0.000029,0.0028,0.0055
30,−17.1218,56.7962,−17.1229,56.7951,0.00280,0.0000197,0.000029,0.0028,0.0055
31,−15.1218,58.8066,−15.1227,58.8057,0.00280,0.0000207,0.000029,0.0028,0.0055
32,−13.1218,60.8170,−13.1230,60.8158,0.00280,0.0000197,0.000029,0.0028,0.0055
33,−11.1219,62.8273,−11.1230,62.8262,0.00280,0.0000208,0.000029,0.0028,0.0055
