"Frequency
","Time
","STN
","Asymmetry
F","Asymmetry
p","Emotion: Asymmetry
F","Emotion: Asymmetry
p","ANG
z","ANG
p","HAP
z","HAP
p","NEU
z","NEU
p","ANG-HAP
z","ANG-HAP
p","ANG-NEU
z","ANG-NEU
p","HAP-NEU
z","HAP-NEU
p"
Theta,400–1100,Left,263.48,<0.001,6.38,<0.001,6.58,<0.001,10.67,<0.001,11.28,0.000,−2.75,0.015,−3.35,0.003,−0.64,0.613
Theta,200–450,Right,198.60,<0.001,4.07,0.008,7.87,<0.001,8.37,<0.001,10.13,0.000,−0.22,0.890,−1.62,0.185,−1.42,0.249
Theta,600–1400,Right,144.81,<0.001,5.98,<0.001,4.32,<0.001,8.18,<0.001,8.99,0.000,−2.64,0.020,−3.32,0.003,−0.72,0.581
Theta,1850–2450,Right,12.78,<0.001,29.62,<0.001,−7.91,<0.001,−1.58,0.196,3.01,0.007,−4.56,0.000,−7.73,0.000,−3.27,0.003
Theta,2850–3100,Right,11.27,<0.001,5.66,<0.001,−4.21,<0.001,−2.77,0.014,0.52,0.708,−1.07,0.380,−3.34,0.003,−2.31,0.045
Alpha,0–300,Left,9.76,<0.001,29.04,<0.001,−3.61,0.001,1.93,0.106,7.05,0.000,−3.37,0.002,−2.32,0.044,1.02,0.403
Alpha,300–550,Left,3.77,<0.001,17.45,<0.001,−2.97,0.008,1.63,0.184,5.37,0.000,−6.30,<0.001,−5.43,0.000,0.81,0.532
Alpha,750–950,Left,0.41,0.008,9.99,<0.001,−2.06,0.079,−1.04,0.397,3.82,0.000,−3.19,0.004,−4.67,0.000,−1.53,0.212
Alpha,1050–1250,Left,1.44,0.233,10.18,<0.001,−1.11,0.367,1.67,0.173,4.51,0.000,−1.97,0.099,−3.99,0.000,−2.07,0.078
Alpha,2100–2600,Left,52.43,<0.001,33.64,<0.001,−9.88,<0.001,−5.45,0.000,1.41,0.249,−3.28,0.003,−8.00,0.000,−4.82,0.000
Alpha,2800–3650,Left,10.12,<0.001,36.63,<0.001,−8.75,<0.001,0.48,0.731,2.30,0.045,−6.16,<0.001,−7.83,0.000,−1.32,0.281
Alpha,200–600,Right,54.14,<0.001,26.08,0.042,−1.73,0.157,7.51,<0.001,−4.06,0.000,−6.50,<0.001,5.98,0.000,0.45,0.745
Alpha,2100–2600,Right,48.87,<0.001,23.29,<0.001,−9.93,<0.001,−1.36,0.266,−0.28,0.848,−5.68,<0.001,−6.35,0.000,−0.75,0.563
Alpha,2950–3100,Right,2.97,0.065,4.20,<0.001,−3.01,0.007,1.13,0.362,−0.87,0.492,−2.95,0.009,−1.52,0.212,1.41,0.249
Beta12,850–1000,Left,3.60,0.730,0.03,0.619,0.77,0.549,1.08,0.378,1.09,0.373,1.41,0.250,1.55,0.206,0.16,0.922
Beta12,1050–1200,Left,1.51,0.640,3.93,0.082,1.75,0.152,−1.67,0.173,1.82,0.131,2.42,0.035,−0.06,0.984,−2.47,0.030
Beta12,1500–1600,Left,10.02,<0.001,1.57,0.208,−2.49,0.029,−2.82,0.012,−0.47,0.736,1.89,0.115,1.11,0.369,−0.77,0.549
Beta12,2250–2400,Left,4.07,<0.001,4.05,0.156,−3.50,0.002,0.03,0.985,−0.03,0.985,0.22,0.890,−0.19,0.905,−0.41,0.769
Beta12,1900–2000,Right,1.22,0.063,6.30,<0.001,0.30,0.843,−3.39,0.002,1.41,0.249,2.59,0.023,−0.79,0.541,−3.39,0.002
Beta20,2100–2200,Left,40.64,<0.001,3.92,0.002,1.18,0.336,4.51,<0.001,3.46,0.002,−2.31,0.045,−1.62,0.184,0.66,0.601
L- gamma,1200–1300,Left,2.65,0.587,4.09,0.159,−1.06,0.386,2.92,0.009,1.56,0.204,−2.81,0.013,−1.86,0.123,0.93,0.456
L- gamma,200–300,Right,0.08,0.002,0.96,0.351,0.40,0.770,0.48,0.731,−1.26,0.304,−0.05,0.984,1.18,0.336,1.24,0.312
Gamma,450–550,Left,11.58,0.001,4.07,0.001,0.05,0.984,3.66,0.001,1.75,0.152,−2.53,0.027,−1.21,0.326,1.30,0.284
Gamma,1950–2150,Left,50.80,<0.001,8.93,<0.001,0.41,0.769,4.89,<0.001,4.76,0.000,−3.13,0.005,−3.09,0.006,−0.01,0.994
Gamma,2900–3200,Left,64.20,<0.001,7.77,<0.001,1.39,0.257,6.49,<0.001,4.25,0.000,−3.78,0.001,−0.73,0.576,4.51,0.000
Gamma,3350–3450,Left,16.37,0.007,3.86,0.089,−0.14,0.923,3.01,0.007,2.81,0.013,−2.21,0.057,−2.09,0.076,0.09,0.968
Gamma,200–650,Right,2.76,<0.001,12.49,<0.001,−1.31,0.284,5.66,<0.001,−0.97,0.428,−4.90,<0.001,−0.23,0.884,4.66,0.000
Gamma,700–1050,Right,47.17,<0.001,13.77,<0.001,0.19,0.905,8.57,<0.001,4.52,0.000,−5.87,<0.001,−3.07,0.006,2.76,0.014
ERP,200–300,Right,65.35,<0.001,4.48,0.243,0.68,0.594,3.05,0.007,2.34,0.043,−1.65,0.178,−1.18,0.336,0.45,0.745
ERP,400–450,Left,9.70,<0.001,0.30,0.640,−1.49,0.221,−1.58,0.196,−2.49,0.029,0.04,0.985,0.71,0.581,0.68,0.594
ERP,2750–2800,Right,0.02,0.596,0.83,0.160,−1.36,0.266,1.04,0.843,0.05,0.984,−1.70,0.165,−0.99,0.421,0.69,0.589
ERP,3250–3350,Right,6.67,0.023,3.36,0.046,1.52,0.212,−0.37,0.790,3.26,0.003,1.35,0.270,−1.24,0.312,−2.59,0.023
