Corollaries,Remarks
Corollary 1,"LHS = 0.1, RHS = 4.983, satisfies LHS < RHS in                         Eq. (17)"
,"LHS = −32.674, RHS = −98.807,3, satisfies LHS > RHS in                         Eq. (18)"
Corollary 2,"LHS = −0.2, RHS = 0, satisfies LHS < RHS as the condition for                         Corollary 2"
Corollary 3,"LHS = −6000, RHS =0, satisfies LHS < RHS in                         Eq. (28)"
,"LHS = 6000, RHS =154.402, satisfies LHS > RHS in                         Eq. (29)"
Corollary 4,"LHS = 6, RHS =max{−1.811; 5.012}, satisfies LHS > RHS in                         Eq. (34)"
Corollary 5,"LHS = −6000, RHS =0, satisfies LHS < RHS in                         Eq. (39)"
,"LHS = 6000, RHS =332.212, satisfies LHS > RHS in                         Eq. (40)"
Corollary 6,"LHS = 6, RHS =max{−0.842; −0.642}, satisfies LHS > RHS in                         Eq. (43)"
Corollary 7,"LHS = −0.2, RHS = 0, satisfies LHS < RHS as the condition for                         Corollary 7"
Corollary 8,"LHS = 0.2, RHS = 0, satisfies LHS > RHS as the condition for                         Corollary 8"
Corollary 9,"LHS = 6, RHS =max{−0.829; −0.699}, satisfies LHS > RHS in                         Eq. (49)"
Corollary 10,"LHS = −6000, RHS =0, satisfies LHS < RHS in                         Eq. (53)"
,"LHS = 6000, RHS =337.088, satisfies LHS > RHS in                         Eq. (54)"
Corollary 11,"LHS = 0.2, RHS = 0, satisfies LHS > RHS as the condition for                         Corollary 11"
,"LHS = 6, RHS =max{−1.241; 1.324}, satisfies LHS > RHS in                         Eq. (49)"
,"LHS = −6000, RHS =0, satisfies LHS < RHS in                         Eq. (53)"
,"LHS (g) = 6000, RHS =225.379, satisfies LHS > RHS in                         Eq. (54)"
