,Brand Attitude,Brand Preference,Consumer satisfaction,Purchase Intentions
BA1,0.935,0.490,0.540,0.636
BA2,0.937,0.495,0.540,0.644
BA3,0.929,0.497,0.553,0.663
BP1,0.497,0.937,0.647,0.690
BP2,0.474,0.943,0.631,0.657
BP3,0.531,0.949,0.633,0.706
BP4,0.491,0.942,0.619,0.649
CS1,0.597,0.608,0.928,0.760
CS2,0.466,0.642,0.939,0.704
CS3,0.574,0.658,0.947,0.722
CS4,0.545,0.638,0.942,0.748
CS5,0.451,0.486,0.772,0.586
PI1,0.818,0.512,0.555,0.726
PI2,0.578,0.693,0.749,0.924
PI3,0.472,0.634,0.652,0.894
PI4,0.527,0.634,0.726,0.909
