Sample,CO,NOx,HCl,SO                         2,CH                         4,Reference
WS 093,100,2.0,0.2,0.5,0.7,This work
WS 123,150,3.0,0.4,0.6,1.4,This work
BS 423,180,3.6,0.3,0.8,2.2,This work
BS 433,180,3.4,0.3,1.2,2.4,This work
BS 723,150,2.2,0.3,0.6,1.6,This work
Bagasse,160,1.8,0.05,0.6,2.1,This work
Miscanthus,160,2.5,0.3,0.8,1.2,This work
"Wood briquettes, Heatlogs",120,1.4,0.06,0.3,1.5,This work
"Wood briquette, Hotmax",50.8,1.5,0.06,0.9,1.1,This work
"Wood logs (spruce, 18% moisture)",110,1.2,0.6,7.3,4.2,[                         17                        ]
"Wood logs (willow, 10% moisture)",80,2.6,0.2,3.4,6.4,[                         17                        ]
