Sample,VM wt% (db) (from                         Table 2                        ),EF                         PM                        g/kg,EC/TC,K wt% (db) (from                         Table 2                        ),Cl wt% (db) (from                         Table 2                        )
WS 093,79.6,6.4,0.36,5053,0.03
WS 123,78.6,6.7,0.34,5495,0.04
BS 423,75.1,5.0,0.49,"20,649",0.11
BS 433,74.2,4.8,0.41,"16,464",0.13
BS 723,76.6,5.2,0.46,"12,394",0.05
Bagasse,87.5,3.0,0.32,2645,0.01
Miscanthus,87.0,2.7,0.54,"11,112",0.25
Heatlogs briquette,90.1,3.0,0.34,1326,0.01
Hotmax briquette,76.0,2.4,,,
"Wood logs (spruce, 18% moisture)",77.0,4.2,0.1,840,
"Wood logs (willow, 10% moisture)",82.0,6.4,0.34,2660,
