#,Date,Tele-scope,Dur (min),Filter,Exp. (s),N                         obs,Airmass,RMS (ppt),CCD Mode,TSNR,Notes
HAT-P-23b,,,,,,,,,,,
1,05 October 2017,UK,205,Rc,150,66,1.27-2.41,2.07,2 × 2,4.95,
2,20 June 2018,PIRATE,164,R,60,158,1.26-1.02,2.36,2 × 2,6.63,Incomplete ingress coverage.
3,26 June 2018,PIRATE,213,R,60,199,1.14-1.02-1.11,2.71,2 × 2,4.71,
4,30 June 2018,PIRATE,192,R,60,178,2.12-1.07,3.50,2 × 2,4.11,
5,30 June 2018,UK,180,Rc,120,85,1.58-1.21,2.56,2 × 2,6.19,
6,06 July 2018,PIRATE,216,R,60,199,1.33-1.02-1.04,3.02,1 × 1,4.95,
7,06 July 2018,UK,264,Rc,120,126,1.55-1.21-1.27,2.59,2 × 2,5.13,
8,12 July 2018,PIRATE,210,R,60,196,1.05-1.02-1.25,3.25,2 × 2,3.78,
9,17 July 2018,UK,200,Rc,120,94,1.55-1.21,1.83,2 × 2,6.16,
10,03 August 2018,PIRATE,196,Rc,180,63,1.41-1.02,1.61,1 × 1,9.05,
11,09 August 2018,PIRATE,255,Rc,180,67,1.14-1.02-1.20,1.25,1 × 1,15.80,Gap in data post egress.
12,26 August 2018,PIRATE,234,Rc,150,92,1.08-1.02-1.24,1.73,1 × 1,7.30,
13,23 September 2018,PIRATE,195,Rc,180,62,1.06-1.02-1.17,1.53,1 × 1,12.71,
14,23 September 2018,UK,181,Rc,180,57,1.21-1.49,1.79,2 × 2,9.08,
15,29 September 2018,PIRATE,156,Rc,180,51,1.02-1.24,1.48,1 × 1,8.73,"Ingress only, no transit mid time."
16,29 September 2018,UK,212,Rc,180,53,1.26-2.38,2.27,2 × 2,5.82,Gap mid transit.
17,16 October 2018,PIRATE,229,Rc,180,75,1.03-2.12,2.02,1 × 1,8.02,
WASP-52b,,,,,,,,,,,
1,10 November 2013,UK,148,Rc,90,93,1.44-1.40,3.02,3 × 3,12.80,
2,27 October 2017,UK,214,Rc,180,66,1.4-1.35-1.63,1.74,2 × 2,16.47,
3,01 August 2018,PIRATE,196,Rc,120,92,1.34-1.06,1.78,1 × 1,16.13,
4,08 August 2018,PIRATE,197,Rc,180,55,1.25-1.06-1.10,1.78,1 × 1,14.69,Gap at egress.
5,29 August 2018,PIRATE,201,Rc,120,95,1.09-1.06-1.29,1.76,1 × 1,16.33,
6,19 September 2018,PIRATE,157,Rc,150,60,1.07-1.58,1.98,1 × 1,13.10,
7,03 October 2018,PIRATE,139,Rc,150,52,1.19-2.13,1.76,1 × 1,12.73,
8,05 October 2018,UK,183,Rc,120,77,1.78-1.35,3.23,2 × 2,6.57,
9,10 October 2018,PIRATE,111,Rc,150,43,1.28-2.15,2.46,1 × 1,-,No out of transit coverage.
10,17 October 2018,COAST,133,Rc,240,32,1.21-2.17,1.92,1 × 1,16.65,"Ingress only, no transit mid time."
11,17 October 2018,PIRATE,132,B,240,33,1.21-2.17,3.16,1 × 1,10.99,"Ingress only, no transit mid time."
12,02 November 2018,UK,252,Rc,120,113,1.53-1.35-1.55,1.91,2 × 2,12.30,
13,07 December 2018,UK,110,Rc,240,25,1.36-1.55,1.19,1 × 1,29.33,"Ingress only, no transit mid time."
