ID,C,E,V,F,S,X,Y
32,[16                         5                        ],−1287.1755,18.1217,0.0000,1,0.238,−0.5553
75,[0 9],−270.1825,16.1194,0.0000,1,1.000,0.0000
105,[24 0],−1604.2570,23.0125,0.0000,1,0.000,0.0000
107,[13                         9                        ],−1059.3153,14.4932,0.0000,1,0.409,−0.8161
116,[                         7                        13],−738.0236,16.5452,0.0000,1,0.650,−0.9150
112,[16                         5                        ],−1287.1669,18.1217,0.0086,1,0.238,−0.5467
95,[                         12                          5                        ],−1212.5120,16.4024,0.0089,1,0.294,−0.6318
81,[24 0],−1604.2386,23.0125,0.0184,1,0.000,0.0184
85,[                         12                          9                        ],−1033.3115,16.8773,0.0234,1,0.429,−0.8007
51,[24 0],−1604.1912,23.0125,0.0658,1,0.000,0.0658
