2014 baseline covariate,Unmet need and intention,Unmet need and no intention,No unmet need and intention,No unmet need and no intention
N,307,228,128,84
Total,100.0,100.0,100.0,100.0
Age (years),,,,
<                              25,28.7,19.3,39.8,35.7
25–34,46.6,34.7,53.1,42.9
>                              35,24.8,46.1,7.0,21.4
Parity,,,,
0–2,26.7,21.5,55.5,53.6
3–4,26.1,28.5,25.8,20.2
5                              or more,47.2,50.0,18.8,26.2
Schooling,,,,
None,19.5,34.8,8.6,29.8
Primary,66.5,53.7,63.3,53.6
Secondary or higher,14.0,11.5,28.1,16.7
Wealth quintile,,,,
Lowest,26.6,33.9,17.2,32.5
Lower,26.2,19.8,28.1,20.5
Middle,19.0,16.7,16.4,18.1
Higher,21.0,20.7,20.3,13.3
Highest,7.2,8.8,18.0,15.7
Reason reported for non-use                               ⁎,,,,
N                               ⁎⁎,264,201,55,29
Fertility related reasons,,,,
Not having sex/Menopausal/ Hysterectomy/Sub-infecund,3.8,8.0,3.6,0.0
No menses since last birth,11.7,2.0,34.6,13.8
Breastfeeding,31.4,15.4,36.4,24.1
Husband away/Not married,6.8,7.0,7.3,10.3
Opposition,,,,
Respondent opposed,4.2,11.0,5.5,6.9
Husband opposed,14.0,13.4,7.3,6.9
Others opposed,3.4,2.0,7.3,6.9
Religious prohibition/Fatalistic,3.8,14.9,1.8,3.5
Method-related reasons,,,,
Side effects,33.7,51.7,21.8,48.3
Health concerns/Interferes with body,12.5,27.4,9.1,13.8
Inconvenient/Lack of access or too far/Costs too much/Preferred or no method not available,12.5,16.4,1.8,6.9
Knows no method/Knows no source,4.2,7.5,1.8,6.9
Other,,,,
Other/Don't know/No response,13.3,11.9,21.8,24.1
