Upstream regulator,2N + vs 2N-,3N + vs 3N-
CRX,2.73,−2.55
GTF2IRD1,2.10,−1.85
SRC,1.70,−1.73
RHO,1.89,−1.63
decitabine,2.77,2.20
IL6,2.25,3.06
P38 MAPK,2.11,1.44
OSM,1.23,2.36
NFkB (complex),1.34,1.95
APP,1.25,1.94
hexachlorobenzene,2.0,1.98
cisplatin,1.77,1.86
STAT3,1.76,2.20
thioacetamide,1.96,2.21
lipopolysaccharide,2.12,2.32
pioglitazone,,−1.92
curcumin,−0.73,−1.71
U0126,−1.96,−1.29
LY294002,−1.67,−1.67
N-acetyl-L-cysteine,−1.67,−0.44
MYC,−1.40,0.30
CSF2,−1.48,
PD98059,−1.82,−0.01
sirolimus,−2.0,
ESR2,−1.94,0.15
cyclosporin A,1.07,1.39
nitrofurantoin,0.65,1.48
dihydrotestosterone,0.78,1.26
bucladesine,1.27,1.19
beta-estradiol,1.41,1.15
