NCT,Title,Starting Date,Completion date,Recruting,Location,Randomization,Masking,Placebo,Nb patients,Nb in HCQ arm,Dose D1                           mg,Dose per day mg,Nb days,Dose per week,Nb of weeks
"4,308,668",Post-exposure Prophylaxis or Preemptive Therapy for SARS-Coronavirus-2: A Pragmatic Randomized Clinical Trial,"March 17, 2020","April 21, 2020",Yes,"Minneapolis, Minnesota, USA",Yes,Quadruple,Yes,3000,1500,1400,600,5,mg,–
"4,334,148",Healthcare Worker Exposure Response and Outcomes of Hydroxychloroquine Trial,April 2020,July 2020,No,"Duke University                        Durham, UK",Yes,Triple,Yes,"15,000",7500,1200,400,30,mg,–
"4,342,221",Randomized Controlled Trial of Hydroxychloroquine Versus Placebo for the Treatment of Adult Patients With Acute Coronavirus Disease 2019 - COVID-19,"March 29, 2020",March 2021,Yes,"University Hospital Tuebingen, Germany",Yes,Quadruple,Yes,220,110,800,600,7,mg,–
"4,329,923",Prevention And Treatment of COVID-19 With Hydroxychloroquine,April 2020,April 2021,Yes,"University of Pennsylvania, USA",Yes,Triple,Yes,400,200,600,600,60,mg,–
"4,353,037",PATCH 2 & 3: Prevention and Treatment of COVID-19 With Hydroxychloroquine) An Open Label Multi-arm Randomized Trial of Hydroxychloroquine in the Prevention and Treatment of COVID-19,"April 7, 2020",April 2021,Yes,"ProHealth New York, USA",Yes,Double,Yes,850,210,600,600,60,mg,–
"4,352,933",ChemoPROphyLaxIs For covId-19 Infectious Disease (the PROLIFIC Trial),April 2020,"October 31, 2020",No,"Cambridge University Hospitals NHS Foundation Trust, UK",Yes,Quadruple,Yes,1000,330,800 D1 & D2,200,90,or 400/wk after loading,12
"4,330,144",Hydroxychloroquine as Post Exposure Prophylaxis for SARS-CoV-2,01/04/2020,30/03/2021,No,"Gangnan severance hospital, Seoul, South Korea",Yes,Single,No,2486,1243,800,400,5,mg,–
"4,318,444",Hydroxychloroquine Post Exposure Prophylaxis (PEP) for Household Contacts of COVID-19 Patients: A NYC Community-Based Randomized Clinical Trial,March 2020,March 2021,No,"Columbia University Irving Medical Center New York, USA",Yes,Quadruple,Yes,1600,800,800,400,5,mg,–
"4,342,156",Safety And Efficacy Of Hydroxychloroquine As COVID-19 Prophylaxis For At-Risk Population,April 2020,August 2020,No,Tan Tock Seng Hospital                        Singapore,Yes,None,No,1200,600,800,400,5,mg,–
"4,304,053",Treatment of Non-severe Confirmed Cases of COVID-19 and Chemoprophylaxis of Their Contacts as Prevention Strategy: a Cluster Randomized Clinical Trial (PEP CoV-2 Study),"March 18, 2020","June 15, 2020",Yes,"Departament de Salut, Barcelona, Spain",Yes,None,No,3040,1520,800,400,5,mg,–
"4,329,611","A Randomized, Double-blind, Placebo-controlled Trial to Assess the Efficacy and Safety of Oral Hydroxychloroquine for the Treatment of SARS-CoV-2 Positive Patients for the Prevention of Severe COVID-19 Disease.",April 13,"August 31, 2020",Yes,"University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada",Yes,Triple,Yes,1660,550,800,400,5,mg,–
"4,351,191",Use and Dosage of Hydroxychloroquine and Chloroquine to Convert Symptomatic RT-PCR Positive Severe Acute Respiratory Syndrome Coronavirus 2 Coronavirus Infectious Disease 2019 Patients to RT- PCR-Negative as a Means to Reduce Hospitalization Rate,"April 15, 2020","April 30, 2020",No,"Mayo Hospital Lahore, Pakistan",Yes,Quadruple,Yes,400,100,800,400,5,mg,–
"4,303,507",Chloroquine/ Hydroxychloroquine Prevention of Coronavirus Disease (COVID-19) in the Healthcare Setting,April 2020,April 2021,No,"University of Oxford, UK",Yes,Double,Yes,"40,000","20,000",600,200,90,mg,–
"4,354,870",ff Label Study to Evaluate the Efficacy of HCQ for Pre-exposure Prophylaxis (PrEP) to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection Among Health Care Workers (HCWs) Who Are at High Risk of Occupational Exposure to SARS-CoV-2,"April 3, 2020","August 1, 2020",Yes,"NYU Langone Health                        New York, New York, USA",No,None,No,350,300,600,200,90,mg,–
"4,330,495","Randomized, Controlled, Double-blind Clinical Trial Comparing the Efficacy and Safety of Chemoprophylaxis With Hydroxychloroquine in Patients Under Biological Treatment and/or JAK Inhibitors in the Prevention of SARS-CoV-2 Infection","April 6, 2020","Nov 6, 2020",No,"Instituto de Investigación Marqués de Valdecilla, Spain",Yes,Double,Yes,800,400,400,400,180,mg,–
"4,352,946","Protecting Health Care Workers From COVID-19 With Hydroxychloroquine Pre-exposure Prophylaxis: A Randomized, Placebo-controlled Trial",April 24,"June 24, 2020",No,GeoSentinel Foundation,Yes,Quadruple,Yes,374,187,400,400,60,mg,–
"4,328,285",Chemoprophylaxis of SARS-CoV-2 Infection (COVID-19) in Exposed Healthcare Workers: A Randomized Double-blind Placebo-controlled Clinical Trial,"April 14, 2020","Nov 30, 2020",Yes,"CHU de Saint-Etienne Institut Pasteur, France",Yes,Triple,Yes,1200,300,400,400,60,mg,–
"4,344,379",Prevention of SARS-CoV-2 in Hospital Workers s Exposed to the Virus,"April 15, 2020","July 31, 2020",Yes,"Assistance Publique - Hôpitaux de Paris, France",Yes,Double,Yes,900,300,400,400,40,mg,–
"4,331,834","Pre-Exposure Prophylaxis With Hydroxychloroquine for High-Risk Healthcare Workers During the COVID-19 Pandemic: A Unicentric, Double-Blinded Randomized Controlled Trial","April 3, 2020","Oct 3, 2020",Yes,"Barcelona Institute for Global Health, Spain",Yes,Quadruple,Yes,440,220,400,400,4,400,24
"4,328,961","Efficacy of Hydroxychloroquine for Post-exposure Prophylaxis (PEP) to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection Among Adults Exposed to Coronavirus Disease (COVID-19): a Blinded, Randomized Study",March 2020,"Sept 30, 2020",Yes,"University of Washington New York University, USA",Yes,Double,Ascorbic acid,2000,1000,400 D1-D3,200,14,mg,–
