State,Metro areas,"%positive as of March 25, 2020","%positive as of April 15, 2020",Date of stay at home rule,% positive at rule mandating
CA,"Los Angeles, St. Francisco-St. Jose, Sacramento-Oakland",12.9%,10.6%,19-Mar-20,9.5%
CO,Denver,11.8%,20.4%,11-Apr-20,19.9%
DC,Washington DC - Baltimore,11.4%,19.3%,1-Apr-20,15.2%
FL,"Miami-Fort Lauderdale, Orlando",9.9%,10.4%,3-Apr-20,10.5%
GA,Atlanta,20.2%,23.1%,2-Apr-20,23.3%
IL,Chicago,13.1%,21.0%,21-Mar-20,12.1%
IN,Indianapolis,14.2%,18.7%,24-Mar-20,12.5%
KS,Kansas,5.1%,9.9%,30-Mar-20,7.5%
MA,Boston,9.3%,22.9%,24-Mar-20,8.4%
MI,Detroit,48.4%,31.0%,24-Mar-20,52.6%
MN,Minneapolis-St. Paul,2.5%,4.6%,27-Mar-20,2.8%
MO,St. Louis,49.1%,10.1%,3-Apr-20,9.8%
NC,"Durham-Raleigh, Charlotte",4.8%,7.7%,30-Mar-20,6.3%
NV,Las Vegas,7.0%,11.7%,1-Apr-20,10.0%
NY,New York,29.8%,40.4%,22-Mar-20,24.7%
OH,"Cleveland, Columbus, Cincinnati",4.8%,11.2%,22-Mar-20,71.5%
OR,Portland,4.6%,5.0%,23-Mar-20,5.0%
PA,"Philadelphia, Pittsburg",9.1%,19.6%,1-Apr-20,12.0%
TX,"Houston, Dallas-Fort Worth",7.2%,10.4%,2-Apr-20,9.2%
UT,Salt Lake City,5.1%,5.4%,27-Mar-20,5.2%
WA,Seattle,9.4%,8.7%,23-Mar-20,7.8%
WI,Milwaukee,5.5%,8.6%,25-Mar-20,5.5%
