N,MeSH category,Drug names,Number of drugs,,,
1,Neoplasms,"Alitretinoin, Arsenic trioxide, Clofarabine, Daunorubicin liposomal, Doxorubicin, Erlotinib hydrochloride, Floxuridine, Idarubicin, Lapatinib, Nilotinib, Paclitaxel, Paclitaxel aqueous gel, Paclitaxel protein-bound particles for injection suspension, Pazopanib, Sorafenib, Toremifene",16,,,
2,Immune System Diseases,"Azathioprine, Beclomethasone 17,21-diproprionate, Fludarabine phosphate, Leflunomide, Lenalidomide, Mesalamine, Mycophenolate mofetil, Nabumetone, Nevirapine, Pentostatin, Pralatrexate, Thalidomide, Vorinostat",13,,,
3,Nervous System Diseases,"Apomorphine, Clonazepam, Gabapentin, Galantamine, Midazolam HCl, Memantine, Riluzole, Tetrabenazine",8,,,
4,Bacterial infections and Mycoses,"Aztreonam, Clindamycin, Doripenem, Levofloxacin, Rifabutin",5,,,
5,Digestive System Diseases,"Fluorouracil, Nitazoxanide, Nitisinone, Synthetic human secretin, Ursodiol,",5,,,
6,Mental Disorders,"Aripiprazole, Atomoxetine hydrochloride, Fluoxetine, Milnacipran, Pramipexole",5,,,
7,"Pathological Conditions, Signs and Symptoms","Aminocaproic acid, Bupivacaine, Medroxyprogesterone acetate, Midazolam nasal spray, Tramadol hydrochloride",5,,,
8,Respiratory Tract Diseases,"Ambrisentan, Bosentan, Mifepristone, Nitric oxide, Tiotropium bromide",5,,,
9,Virus Diseases,"Disoproxil fumarate, Ribavirin, Tenofovir",3,,,
10,Cardiovascular Diseases,"Bethanidine Sulfate, Nitroprusside",2,,,
11,Female Urogenital Diseases and Pregnancy Complications,"Progesterone, Testosterone propionate",2,,,
12,Hemic and Lymphatic Diseases,"Anagrelide, Decitabine",2,,,
13,Behavior and Behavior Mechanisms,Bupropion,1,,,
14,Diagnosis,Synthetic porcine secretin,1,,,
15,Eye Diseases,Brimonidine,1,,,
16,Musculoskeletal and Neural Physiological Phenomena,Mepivacaine,1,,,
17,Nutritional and Metabolic Diseases,Miglustat,1,,,
18,Parasitic Diseases,Praziquantel,1,,,
