MeSH Category,Disease group,MeSH Category,Disease group,,,,
C01,Bacterial Infections and Mycoses,C16,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",,,,
C02,Virus Diseases,C17,Skin and Connective Tissue Diseases,,,,
C03,Parasitic Diseases,C18,Nutritional and Metabolic Diseases,,,,
C04,Neoplasms,C19,Endocrine System Diseases,,,,
C06,Digestive System Diseases,C20,Immune System Diseases,,,,
C07,Stomatognathic Diseases,C23,"Pathological Conditions, Signs and Symptoms",,,,
C08,Respiratory Tract Diseases,C25,Chemically-Induced Disorders,,,,
C10,Nervous System Diseases,E01,Diagnosis,,,,
C11,Eye Diseases,F01,Behaviour Mechanisms,,,,
C12,Male Urogenital Diseases,F03,Mental Disorders,,,,
C13,Female Urogenital Diseases and Pregnancy Complications,G07,Physiological processes,,,,
C14,Cardiovascular Diseases,G08,Reproductive and Urinary Physiological Phenomena,,,,
C15,Hemic and Lymphatic Diseases,G11,Musculoskeletal and Neural Physiological Phenomena,,,,
