Lipid Class,RF Sensitivity,RF Specificity,RF AUC,GLM Sensitivity,GLM Specificity,GLM AUC,AUC diff,R                         2                        Nag,R                         2                        Tjur
All Lipids,0.69,0.82,0.83,0.78,0.67,0.80,0.03,0.58,0.42
Cer,0.87,0.83,0.90,0.85,0.77,0.90,<0.01,0.79,0.59
ChE,0.82,0.80,0.89,0.80,0.81,0.87,0.02,0.77,0.61
ChE & Cer,0.82,0.85,0.91,0.85,0.87,0.91,−0.01,0.91,0.79
DG,0.76,0.77,0.81,0.70,0.75,0.78,0.03,0.52,0.35
LPC,0.71,0.75,0.78,0.70,0.63,0.71,0.07,0.63,0.44
PC,0.74,0.78,0.81,0.68,0.77,0.80,0.01,0.74,0.52
PE,0.74,0.74,0.80,0.73,0.74,0.79,0.01,0.56,0.38
PI,0.78,0.78,0.83,0.75,0.74,0.82,0.01,0.64,0.48
SM,0.62,0.68,0.71,0.72,0.62,0.73,−0.02,0.69,0.50
TG,0.85,0.77,0.81,0.82,0.77,0.83,−0.01,0.65,0.45
