"Qualitative Phytochemical analysis of                         A. trilobata
Test Name","Qualitative Phytochemical analysis of                         A. trilobata
MEATL","Qualitative Phytochemical analysis of                         A. trilobata
NFATL","Qualitative Phytochemical analysis of                         A. trilobata
MEATS","Qualitative Phytochemical analysis of                         A. trilobata
NFATS"
Alkaloid                        Mayer test,++,+,++,+
Carbohydrate                        Molisch's test,++,+,++,+
Glycosides,++,+,++,+
Flavonoids,++,++,+,++
Phenols,++,+,+,+
Flavonol,++,+,++,+
Terpenoids,+,–,–,–
Tannins,–,–,–,–
Saponins,+,–,+,+
Sterols,–,–,–,–
Quinones,–,–,–,–
Cholesterol,–,–,–,–
Proteins,–,–,–,–
Steroids,–,–,–,–
Starch,–,–,–,–
