ncRNA,Impact on Osteogenesis,Role in Tumorigenesis,Examined Cell Lines,Targets,References
miR-17-5p,downregulation,oncogene,"huASCs, MC3T3-E1, MG-63, U-2 OS, Saos-2, 143B","BRCC2, BMP-2, SMAD7, Wnt/β-catenin signaling",100–104
miR-21,upregulation downregulation (?),oncogene,"huBMSCs, MC3T3-E1, 4B12, MG-63, U-2 OS, Saos-2, HOS, 143B","SMAD family proteins, RUNX2, OCN, OPN, OCL, COLL-1, MMP-9, OPG, RANKL, RANK, IL-6, IL-8","25                            ,                            27                            ,                            29                            ,                            30                            ,                            105"
miR-124,downregulation,suppressor gene,"huBMSCs, MG-63","TGF-β family proteins, DLX family proteins, OSX, CDK2, MPC-1","26                            ,                            41                            ,                            43–45"
miR-149,downregulation,suppressor gene,"raBMSCs, MG-63, U-2 OS, Saos-2, HOS, 143B","ERK/MAPK signaling, SDF-1, PI3K/AKT pathway",106–108
miR-203,upregulation downregulation,suppressor gene,"huBMSCs, huH226, MG-63, U-2 OS, Saos-2","RUNX2, DLX5, MMP-1, SMAD3, TGF-β family proteins, IL-6, RAB22A, TBK1","47                            ,                            49                            ,                            51                            ,                            54–56"
miR-223,upregulation downregulation,suppressor gene,"MC3T3-E1, huBMSCs, 143B, U-2 OS","HDAC2, CSFR1/M-CSFR, CDH6","18                            ,                            58                            ,                            59                            ,                            63                            ,                            109"
lncDANCR,downregulation,oncogene,"huBMSCs, human monocytes, 143B","TNF-α, RANKL, miR-33a-5p, miR-216a-5p/SOX5","69                            ,                            70                            ,                            110"
lncTUG1,upregulation,oncogene,"huPDLSCs, huTPSCs, huBMSCs, MG-63, U-2 OS","miR-204, miR-211, miR-132/ SOX4, RUNX2,","24                            ,                            74                            ,                            77"
lncMALAT1,upregulation,oncogene,"huASCs, huFLSs huFOB1.19, MG-63, U-2 OS, Saos-2","miR-204, SMAD4, miR-30, miR-124, IL-6, IL-10, TNF-α, CTNNB1","4                            ,                            81                            ,                            82"
lncHOTAIR,downregulation,oncogene,"huBMSCs, huAVICs, MG-63","miR-138, miR-204, miR17-5p/SMAD7 axis, Wnt/β-catenin signaling, NF-κB signaling","4                            ,                            92                            ,                            94                            ,                            111"
lncH19,upregulation,oncogene,"raBMSCs, raEMSCs, MG-63, U-2 OS, Saos-2, HOB","Wnt/β-catenin signaling, miR-138, miR-149/SDF-1 axis","107                            ,                            112–115"
