Linker position,Human NP_996816,Mouse NP_067383,Rat NP_001289148,Chicken XP_015139380,Zebrafish XP_009291422
F1-F2,1,24,24,13,19
F2-F3,3,3,3,3,10
F3-F4,10,10,10,8,10
F5-F6,2,2,2,2,2
F6-F7,7,7,7,4,8
F7-F8,2,1,7,4,4
F8-F9,15,15,15,15,10
F9-F10,3,3,3,2,3
F10-F11,4,7,11,14,2
F11-F12,1,1,1,1,1
F12-F13,4,4,4,1,9
F13-F14,18,1,21,1,22
F14-F15,4,4,4,4,6
F15-F16,10,23,10,10,17
F16-F17,361,362,362,358,374
F17-F18,8,10,2,8,22
F18-F19,3,3,19,3,3
F19-F20,3,3,7,9,16
F20-F21,9,15,13,2,16
F21-F22,9,12,12,19,20
F22-F23,3,3,3,10,24
F23-F24,8,4,4,4,4
F24-F25,10,10,10,10,10
F25-F26,20,20,9,15,3
F26-F27,4,4,4,4,15
F27-F28,4,3,14,3,4
F28-F29,12,1,1,1,1
F29-F30,8,25,25,29,25
F30-F31,1,1,11,1,6
F31-F32,16,16,16,27,33
