hsa-miR-423-5p,hsa-miR-3202,hsa-miR-419,hsa-miR-6750-5p,hsa-miR-4740-5p,hsa-miR-4779,hsa-miR-377-5p,hsa-miR-510-5p,has-miR-3613-3p,hsa-miR-6086,hsa-miR-7160-5p
STRN4,GPR107,GNS,FKBP4,SCD,KIF21B,SEC24A,HTR3E,MPRIP,TFPI,PAX2
GDF11,TOR1AIP2,ARL8B,PPIA,FKBP5,POLR2F,FKBP5,SLX4IP,CNOT6L,SAMD8,PLCD3
ASPH,SET,SESN3,QSER1,H6PD,IQSEC3,RC3H1,MRPS16,CCNY,ARHGEF2,CPSF2
HNRNPUL1,RNF187,C5orf51,,,SHISA6,TMEM30B,ZNF101,SLC24A4,RC3H1,AEHD12
NCS1,TBC1D2B,FKBP4,,,MTSS1L,GNL3L,ARIH1,SNIP1,IRGQ,VSIR
FOXK1,CAPZB,,,,NOVA2,PDK3,TMED4,PSPC1,PLCXD1,USB1
MNT,FKBP4,,,,TNRC6B,ZNF570,VHL,FKBP5,TMEM196,MSMO1
ABCC5,SOCS7,,,,RAB7A,CLEC7A,FKBP5,DYRK2,ZNF835,PDE4A
ARRB2,MLEC,,,,URM1,RBMS2,SELENOH,,TMEM30B,NECTIN1
KMT2B,TAOK1,,,,SOX12,WDR26,ZNF410,,CDADC1,TMEM63C
SEPT9,URM1,,,,EPHB2,,PRR14L,,PDK3,PRX
HDGF,ZNF385A,,,,SEMA4G,,PPP2R5E,,CARNMT1,SLC25A34
MFGE8,OTUD7B,,,,CBX2,,ZNF451,,RNF126,TRIM65
ARHGDIA,FAM131B,,,,HMGA1,,UGGT1,,ZNF587,PEX11B
TMEM184B,SYT7,,,,CD3E,,,,WDR26,PDE7A
SHANK3,PTPA,,,,FKBP5,,,,TMEM33,CYP51A1
C20orf27,SH3PXD2A,,,,MIDN,,,,CYTH2,PNMA2
PLCB1,SDK1,,,,STMN1,,,,CLEC7A,PDE7A
WFIKKN2,SGK1,,,,,,,,CNNM4,NOL9
RNF165,FOXJ2,,,,,,,,NRXN3,CRIPT
SELENON,ATXN1L,,,,,,,,ZNF385A,ZNF587
PDPK1,SEMA4G,,,,,,,,FKBP5,ANGPT4
SRM,ABLIM1,,,,,,,,RBMS2,TSKU
NAV1,ZBTB7B,,,,,,,,,TMEM209
CALM3,FSTL4,,,,,,,,,TRIM67
CCNF,UBE2V1,,,,,,,,,SNX27
MCRIP1,C6orf22,,,,,,,,,GLUL
LASP1,DNAJC8,,,,,,,,,ZNF329
MED28,ELFN2,,,,,,,,,RBMS2
SOX12,CNNM4,,,,,,,,,SENP5
MAP3K9,SLC26A9,,,,,,,,,SLC25A45
MKNK2,SZRD1,,,,,,,,,NFIC
STRIP2,TMEM167A,,,,,,,,,ITGA3
FKBP4,NAV2,,,,,,,,,PCYT1A
RNF187,TSEN54,,,,,,,,,RNF24
,CPM,,,,,,,,,PPFIBP1
,IP6K1,,,,,,,,,ATP1B4
,KDM5C,,,,,,,,,FZD7
,ANKRD45,,,,,,,,,ZNF500
,PDXK,,,,,,,,,GLG1
,GPR173,,,,,,,,,SALL2
,FAM228A,,,,,,,,,SH3RF1
,TMEM9,,,,,,,,,TOR1AIP2
,MAFG,,,,,,,,,DTD2
,ZBTB33,,,,,,,,,CDCP1
,PLXNA2,,,,,,,,,CDKAL1
,NFAT5,,,,,,,,,NRIP3
,POTEG,,,,,,,,,ZNF490
,,,,,,,,,,TOMM20
,,,,,,,,,,HOOK3
,,,,,,,,,,ANKRD40
,,,,,,,,,,PAX5
,,,,,,,,,,FBXO45
,,,,,,,,,,SLC35E2
,,,,,,,,,,CAPZB
,,,,,,,,,,TRAF3IP2
,,,,,,,,,,PTK6
,,,,,,,,,,TMEM120B
,,,,,,,,,,KLHDC10
,,,,,,,,,,RPH3A
,,,,,,,,,,BRBP
,,,,,,,,,,TYRO3
,,,,,,,,,,SLC38A7
,,,,,,,,,,PHC2
,,,,,,,,,,PHACTR4
,,,,,,,,,,PHF12
,,,,,,,,,,RAB33B
,,,,,,,,,,PFKFB3
,,,,,,,,,,PRELP
,,,,,,,,,,CCND3
,,,,,,,,,,NUP43
,,,,,,,,,,TNN11
,,,,,,,,,,FOXP4
,,,,,,,,,,ZNF317
,,,,,,,,,,TMEM239
,,,,,,,,,,GTPBP1
,,,,,,,,,,CCL22
,,,,,,,,,,HDAC5
,,,,,,,,,,BTF3L4
,,,,,,,,,,AMOTL1
,,,,,,,,,,MINOS1-NBL1
,,,,,,,,,,EFNA3
,,,,,,,,,,ZNF674
,,,,,,,,,,FNIP1
,,,,,,,,,,PLAGL2
,,,,,,,,,,ARRB1
,,,,,,,,,,BVFS
,,,,,,,,,,OPA3
,,,,,,,,,,TGFBR3L
,,,,,,,,,,SLC35F6
,,,,,,,,,,KLC2
,,,,,,,,,,ASB1
,,,,,,,,,,RKP7A
,,,,,,,,,,DNAL1
,,,,,,,,,,GGCX
,,,,,,,,,,SHISA6
,,,,,,,,,,YWHAE
,,,,,,,,,,TLCD2
,,,,,,,,,,C11orf58
,,,,,,,,,,PGAM5
,,,,,,,,,,HECTK3
,,,,,,,,,,NAV2
,,,,,,,,,,SNX1
,,,,,,,,,,ZCCHC24
,,,,,,,,,,GOLGA3
,,,,,,,,,,SLC19A3
,,,,,,,,,,IQSEC3
,,,,,,,,,,DNAJC24
,,,,,,,,,,ATL3
,,,,,,,,,,MOB3A
,,,,,,,,,,IDS
,,,,,,,,,,NPTXR
,,,,,,,,,,NAV1
,,,,,,,,,,GPRC5A
,,,,,,,,,,RF41
,,,,,,,,,,SAP18
,,,,,,,,,,UBXN2B
,,,,,,,,,,CAMLG
,,,,,,,,,,CLCC1
,,,,,,,,,,RNF187
,,,,,,,,,,LRKC59
,,,,,,,,,,SLC11A2
,,,,,,,,,,RGS6
,,,,,,,,,,TVP23C
,,,,,,,,,,SORCS2
,,,,,,,,,,MYO1C
,,,,,,,,,,NCEH1
,,,,,,,,,,MAG
,,,,,,,,,,ULK2
,,,,,,,,,,DISC1
,,,,,,,,,,SLC4A2
,,,,,,,,,,CPM
,,,,,,,,,,APOBFC3F
,,,,,,,,,,BICDL1
,,,,,,,,,,RAB21
,,,,,,,,,,SUMF2
,,,,,,,,,,S1PR2
,,,,,,,,,,ATXN7L3
,,,,,,,,,,UBE2D4
,,,,,,,,,,DNAJC8
,,,,,,,,,,ARMH3
,,,,,,,,,,PACSIN1
,,,,,,,,,,MSN
,,,,,,,,,,NRF1
,,,,,,,,,,ST7L
,,,,,,,,,,NFAT5
,,,,,,,,,,RBM43
,,,,,,,,,,SLC2A4
,,,,,,,,,,NTN1
,,,,,,,,,,NBL1
