lncRNA,miRNA
UCA1,hsa-miR-423-5p
KCNQ1OT1,hsa-miR-423-5p
FOXP4-AS1,hsa-miR-423-5p
AC068039.4,hsa-miR-423-5p
SNORA67,hsa-miR-423-5p
MALAT1,hsa-miR-423-5p
XLOC_014255,hsa-miR-423-5p
SPACA6P,hsa-miR-423-5p
AC004951.6,hsa-miR-423-5p
KCNQ1OT1,hsa-miR-3202
RP11-20D14.6,hsa-miR-3202
XIST,hsa-miR-3202
AC093642.3,hsa-miR-3202
XLOC_011789,hsa-miR-3202
LOC648987,hsa-miR-3202
GMDS-AS1,hsa-miR-3202
RP5-1085F17.3,hsa-miR-3202
LOC100190986,hsa-miR-3202
SNHG8,hsa-miR-3202
LINC00960,hsa-miR-3202
AC007255.8,hsa-miR-3202
APTR,hsa-miR-3202
XLOC_014159,hsa-miR-3202
APTR,hsa-miR-3202
APTR,hsa-miR-3202
RP11-140K17.3,hsa-miR-3202
GMDS-AS1,hsa-miR-3202
AC005154.6,hsa-miR-3202
KTN1-AS1,hsa-miR-3202
RP11-513I15.6,hsa-miR-3202
PCBP1-AS1,hsa-miR-3202
MIR503HG,hsa-miR-3202
AC007246.3,hsa-miR-3202
XXbac-BPG154L12.4,hsa-miR-3202
FAM201A,hsa-miR-3202
ZEB1-AS1,hsa-miR-3202
AC007246.3,hsa-miR-3202
TINCR,hsa-miR-3202
XLOC_010706,hsa-miR-3202
TINCR,hsa-miR-3202
AC007246.3,hsa-miR-3202
LINC01278,hsa-miR-3202
SLC25A25-AS1,hsa-miR-3202
RP11-388C12.8,hsa-miR-3202
AC007246.3,hsa-miR-3202
RP11-734K2.4,hsa-miR-3202
CTD-2284J15.1,hsa-miR-3202
MGC27345,hsa-miR-3202
AC007246.3,hsa-miR-3202
RP11-458F8.4,hsa-miR-3202
RP11-395P17.3,hsa-miR-3202
ZEB1-AS1,hsa-miR-3202
LINC00960,hsa-miR-3202
RP11-725P16.2,hsa-miR-3202
AC007246.3,hsa-miR-3202
MIR4697HG,hsa-miR-3202
RP11-545I5.3,hsa-miR-3202
RP11-197N18.2,hsa-miR-3202
XLOC_006242,hsa-miR-3202
KCNQ1OT1,hsa-miR-4519
RP11-539L10.3,hsa-miR-4519
RP11-539L10.3,hsa-miR-4519
XLOC_003870,hsa-miR-4519
CTC-459F4.3,hsa-miR-4519
LINC00663,hsa-miR-4519
AC025171.1,hsa-miR-4519
XLOC_013499,hsa-miR-4519
LINC00662,hsa-miR-4519
RP11-574K11.29,hsa-miR-4519
HNRNPU-AS1,hsa-miR-4519
