,MPS I                        (                         n                        = 18),MPS II                        (                         n                        = 23),MPS VI                        (                         n                        = 9),Total                        (                         N                        = 50)
"Gender,                         n                        (%)",,,,
Male,8 (44%),23 (100%),5 (56%),36 (72%)
Female,10 (56%),0,4 (44%),14 (28%)
"Age (years), mean (SD) [range]",,,,
At diagnosis,2.0 (1.7)                        [0.0–4.5],3.7 (2.0)                        [0.0–8.0],2.4 (2.4)                        [0.6–7.7],2.9 (2.1)                        [0.0–8.0]
At start of ERT,7.2 (5.5)                        [0.3–17.5],8.2 (4.5)                        [0.1–16.0],5.2 (4.4)                        [0.6–11.6],7.3 (4.9)                        [0.1–17.5]
"Duration of ERT (years), mean (range)",8.3                        (2.0–10.9),5.9                        (1.7–9.4),6.2                        (1.0–10.0),6.8                        (1.0–10.9)
"Age group at start of ERT,                         n                        (%)",,,,
≤5 years,9 (50%),7 (30%),6 (67%),22 (44%)
>5 to ≤12 years,6 (33%),14 (61%),3 (33%),23 (46%)
>12 years,3 (17%),2 (9%),0,5 (10%)
