,Household walker (                         n                         =                        48),Limited community walker (                         n                         =                        63),Full community walker (                         n                         =                        29),Total (                         n                         =                        140)
"Sex, M/F",35/13,25/38,14/15,74/66
"Age, years, mean (SD)",58.7 (11.3),58.7 (13.3),62.0 (10.2),59.4 (12.1)
"Height, cm, mean (SD)",169.1 (9.3),167.8 (9.4),169.0 (9.6),169 (9.3)
"Weight, kg, mean (SD)",82.6 (15.1),76.4 (14.8),76.8 (12.4),78.6 (14.6)
"Walking device,                         n                        (%)",,,,
None,16 (33%),30 (48%),18 (62%),65 (46%)
Cane/crutch,20 (42%),16 (25%),3 (10%),40 (28%)
AFO,3 (6%),6 (10%),4 (14%),13 (9%)
KAFO,9 (19%),11 (17%),4 (14%),24 (17%)
"MSS legs, median [IQR]                           a",56 [28–77],59 [20–80],67 [30–78]*,60 [20–80]
