Parameters,Trend of Transplanted Animals Compared to,Statistical Significance
Cardiac output (mL/min),WT = similar; GAA                         −/−                        = lower,p = 0.59
Ejection fraction (%),WT = similar; GAA                         −/−                        = similar,p = 0.61
Fractional area shortening,WT = higher; GAA                         −/−                        = lower,p = 0.40
Fractional shortening (%),WT = lower; GAA                         −/−                        = lower,p = 0.08
Stroke volume (μL),WT = similar; GAA                         −/−                        = lower,p = 0.10
End diastolic volume (μL),WT = similar; GAA                         −/−                        = lower,p = 0.29
End systolic volume (μL),WT = similar; GAA                         −/−                        = similar,p = 0.79
Ascending aortic diameter (mm)                           a,WT = similar; GAA                         −/−                        = lower,p = 0.12
Descending aortic diameter (mm)                           a,WT = similar; GAA                         −/−                        = lower,p = 0.16
Transverse aortic diameter (mm)                           a,WT = similar; GAA                         −/−                        = lower,p = 0.38
Ascending aortic velocity (mm/s)                           a,WT = higher; GAA                         −/−                        = lower,p = 0.06
Descending aortic velocity (mm/s)                           a,WT = similar; GAA                         −/−                        = lower,∗∗p = 0.0053
AV peak pressure                           a,WT = higher; GAA                         −/−                        = lower,p = 0.09
Early ventricular filling velocity (mm/s),WT = similar; GAA                         −/−                        = lower,p = 0.13
Late ventricular filling velocity (mm/s),WT = lower; GAA                         −/−                        = lower,p = 0.34
E/A,WT = higher; GAA                         −/−                        = similar,p = 0.37
LV mass,WT = similar; GAA                         −/−                        = lower,∗p = 0.014
Aortic root,WT = similar; GAA                         −/−                        = lower,p = 0.13
LV posterior wall thickness (mm) diastole,WT = similar ; GAA                         −/−                        = lower,∗p = 0.022
Interventricular septum (mm) diastole,WT = similar ; GAA                         −/−                        = similar/lower,p = 0.51
LV internal dimension (mm) diastole,WT = similar ; GAA                         −/−                        = similar,p = 0.83
