Number of single-load AGVs,"Time for completing 15,000 missions                             T                              i                            (hour)",Total operating time of all single-load AGVs                               O                                T                                i                            (hour),loss in operational efficiency                           ƞ,Number of conflicts in the process
1,6099.6060,6099.6060,0.00 %,0
2,3075.6296,6151.2593,0.85 %,1755.9603
3,2064.2229,6192.6688,1.53 %,3396.8913
4,1556.8209,6227.2837,2.09 %,4922.8177
5,1251.0290,6255.1448,2.55 %,6340.2453
6,1046.6469,6279.8813,2.96 %,7666.1243
7,900.06983,6300.4888,3.29 %,8885.5333
8,789.79646,6318.3717,3.59 %,10064.104
9,703.74053,6333.6648,3.84 %,11153.409
10,634.74161,6347.4161,4.06 %,12183.783
