Parameter,Value
K,"diag{2.4172, 2.4172, 2.4172, 0.5, 0.5, 0.5}"
B                              ^,"diag                                    {                                    0.3                                    ,                                     0.3                                    ,                                     0.3                                    ,                                     2.5                                    ,                                     0.75                                    ,                                     0.75                                    }"
ω                           oi,200
k                           ϕ,5
k                           p,2
k                           θ,4
k                           ψ,4
ξ                           d,1
δ                           p,0.75
δ                           o,1.0
