parameter,BB,ORFL,BRFL,GRFL
log                              (                              C                              ),14.27,13.08,13.56,13.12
m,3.60,3.20,3.35,3.22
γ,0.87,0.90,0.90,0.91
n,4.01,3.52,3.64,3.36
σ                                    N,0.30,0.19,0.23,0.21
S                                    t,100,,,
m                                    t,5.3,,,
"S                                    ∞                                  ,                                  μ",,9,68,47
"S                                    ∞                                  ,                                  σ",,5.3,2.1,2.7
ρ                                        S                                        ∞,,,,0.4
