Source of uncertainty,W                                  ±                                    W                                  ±                              (%),W                            Z                          (%)
Integrated luminosity,1.5,1.6
Lepton measurement,1.8,2.9
Jet energy scale and resolution,1.5,4.3
Pileup,0.1,0.4
b tagging,1.0,1.0
Nonprompt rate,3.5,1.4
Trigger,1.1,1.1
Limited sample size,2.6,3.7
Theory,1.9,3.8
Total systematic uncertainty,5.7,7.9
Statistical uncertainty,8.9,22
Total uncertainty,11,23
