"Absorbance
Frequency","Absorbance
Control","Absorbance
Asymptomatic","Absorbance
Symptomatic","Absorbance
p                            a","Absorbance
p                            b"
226 Hz,0.162,0.070,0.025,0.000001,0.000001
257 Hz,0.170,0.072,0.023,0.000001,0.000001
324 Hz,0.167,0.055,0.004,0.000001,0.000001
408 Hz,0.260,0.111,0.038,0.000001,0.010
500 Hz,0.318,0.139,0.053,0.000001,0.010
630 Hz,0.462,0.246,0.138,0.003,0.050
794 Hz,0.551,0.399,0.260,0.023,0.390
1000 Hz,0.699,0.569,0.448,0.033,0.570
1260 Hz,0.749,0.628,0.547,0.113,1.000
1587 Hz,0.642,0.633,0.631,0.417,1.000
2000 Hz,0.0602,0.616,0.678,0.366,1.000
2520 Hz,0.595,0.643,0.884,0.180,1.000
3175 Hz,0.580,0.699,0.845,0.171,1.000
4000 Hz,0.493,0.584,0.800,0.121,1.000
5040 Hz,0.203,0.105,0.209,0.466,1.000
6350 Hz,0.318,0.181,0.239,0.094,1.000
8000 Hz,0.255,0.121,0.038,0.570,1.000
