"Absorbance
Frequency","Absorbance
p                            c","Absorbance
p                            b","Absorbance
p                            c","Absorbance
p                            b","Absorbance
p                            c","Absorbance
p                            b"
Frequency,CG × AG,CG × AG,CG × SYG,CG × SYG,AG × SYG,AG × SYG
226 Hz,0.000001,0.000001,0.000001,0.000001,0.001,0.236
257 Hz,0.000001,0.000001,0.000001,0.000001,0.002,0.266
324 Hz,0.000001,0.000001,0.000001,0.000001,0.003,0.266
408 Hz,0.000001,0.000001,0.000001,0.000001,0.014,0.334
500 Hz,0.000001,0.000001,0.000001,0.000001,0.027,0.465
630 Hz,0.000001,0.000001,0.000001,0.000001,0.028,0.462
794 Hz,0.000001,0.000001,0.000001,0.000001,0.044,0.416
1000 Hz,0.001,0.004,0.001,0.002,0.298,1.000
1260 Hz,0.010,0.046,0.053,0.085,0.483,1.000
1587 Hz,0.389,1.000,0.665,1.000,0.734,1.000
2000 Hz,0.811,1.000,0.152,0.306,0.039,0.211
2520 Hz,0.803,1.000,0.008,0.020,0.012,0.054
3175 Hz,0.051,0.161,0.002,0.004,0.081,0.269
4000 Hz,0.085,0.313,0.003,0.004,0.035,0.179
5040 Hz,0.267,0.824,0.987,1.000,0.497,1.000
6350 Hz,0.031,0.134,0.157,0.277,0.603,1.000
8000 Hz,0.257,0.736,0.094,0.298,0.493,1.000
