"Absorbance
Frequency","Absorbance
p                          c","Absorbance
p                          b","Absorbance
p                          c","Absorbance
p                          b","Absorbance
p                          c","Absorbance
p                          b"
Frequency,CG × AG,CG × AG,CG × SYG,CG × SYG,AG × SYG,AG × SYG
226 Hz,0.000001,0.000001,0.000001,0.000001,0.039,0.448
257 Hz,0.000001,0.0003,0.000001,0.000001,0.526,1.000
324 Hz,0.001,0.004,0.000001,0.0001,0.946,1.000
408 Hz,0.007,0.052,0.000001,0.001,0.415,1.000
500 Hz,0.010,0.069,0.000001,0.0003,0.319,1.000
630 Hz,0.243,0.976,0.001,0.002,0.081,0.401
794 Hz,0.828,1.000,0.008,0.022,0.090,0.264
1000 Hz,0.677,1.000,0.012,0.031,0.103,0.387
1260 Hz,0.237,0.983,0.053,0.119,0.415,1.000
1587 Hz,0.764,1.000,0.203,0.569,0.428,1.000
2000 Hz,0.309,0.759,0.709,1.000,0.118,0.478
2520 Hz,0.039,0.205,0.909,1.000,0.230,0.361
3175 Hz,0.162,0.573,0.104,0.276,0.928,1.000
4000 Hz,0.067,0.157,0.193,0.637,0.277,1.000
5040 Hz,0.629,1.000,0.206,0.667,0.821,1.000
6350 Hz,0.264,0.559,0.031,0.121,0.946,1.000
8000 Hz,0.451,1.000,0.348,1.000,0.927,1.000
