,T2E,No T2E,P                        Value
Number of cases,77,194,
Male (%),70 (91),171 (88),0.51
Diabetes (%),8 (10),25 (13),0.57
Hypertension (%),52 (68),121 (62),0.43
Hypercholesterolemia (%),18 (23),41 (21),0.69
Peripheral vascular disease (%),15 (19),42 (22),0.69
Coronary heart disease (%),30 (39),73 (38),0.84
Stable angina (%),4 (5),12 (6),0.76
MI/ACS (%),11 (14),27 (14),0.94
PCI (%),10 (13),16 (8),0.23
CABG (%),10 (13),17 (9),0.30
Cardiac arrhythmia (%),15 (19),37 (19),0.94
Respiratory disease (%),23 (30),50 (26),0.49
Hepatobiliary disease (%),6 (8),7 (4),0.15
Gastrointestinal disease (%),17 (22),49 (25),0.58
Renal/urinary disease (%),19 (25),39 (20),0.41
Endocrine disease (%),4 (5),19 (10),0.22
Hematological disease (%),4 (5),7 (4),0.55
Musculoskeletal disease (%),16 (21),28 (14),0.20
Neoplasia disease (%),9 (12),36 (19),0.17
