"
","NT-proBNP
r","hs-TnT
r","Hs-CRP
r","RDW
r","GDF-15
r","Gal-3
r"
Clinical Characteristics,,,,,,
Age at closure,0.51                           ***,0.74                           ***,0.25,0.18,0.75                           ***,0.30*
Women,0.16,−0.55                           ***,0.07,0.10,−0.09,−0.09
Body mass index,0.14,0.213,0.26,0.37                           **,0.12,0.29
Systolic blood pressure,0.09,0.45                           **,0.11,−0.30*,0.41                           **,−0.09
NYHA class,0.37*,0.25,0.21,−0.03,0.31*,−0.12
Cardiac medication use,0.52                           ***,0.63                           ***,0.36*,0.27,0.57                           ***,0.47                           **
Hypertension,0.36*,0.48                           **,0.25,0.20,0.41                           **,0.06
Atrial fibrillation,0.44                           **,0.54                           ***,0.19,0.40                           **,0.40                           **,0.26
Electrocardiography,,,,,,
Heart rate,−0.03,0.00,0.06,−0.11,0.01,−0.27
PR interval †,0.07,0.40*,0.11,0.07,0.28,0.29
QRS duration,0.01,0.39                           **,0.01,0.03,0.25,0.21
Echocardiography,,,,,,
LV end-diastolic dimension,0.05,0.17,−0.19,0.19,0.09,0.01
E/E’,0.08,0.13,0.41*,−0.04,0.09,−0.23
E/A,0.12,−043*,0.00,0.817,−0.35,0.03
Left atrial dimension,0.54                           ***,0.48                           **,0.15,0.41                           **,0.47                           **,0.38                           **
Right atrial area,0.45                           **,0.35*,0.01,0.31*,0.25,0.18
RVED area,0.20,0.27,0.05,0.28,0.16,0.30*
RVED basal diameter,−0.03,0.09,0.15,−0.01,−0.01,0.08
RVED apex to base length,−0.26,0.08,−0.24,−0.15,−0.011,−0.010
RV fractional area change,−0.20,−0.19,0.19,−0.00,−0.21,0.05
TAPSE,−0.34*,−0.18,0.14,−0.10,−0.17,0.00
Right atrial pressure of 8 mmHg,0.47                           **,0.29,0.09,0.34*,0.30,0.18
"RV systolic pressure, mmHg",0.55                           ***,0.47                           **,0.37*,0.21,0.47*                        *,0.29
Hemodynamics,,,,,,
Right atrial pressure,0.26,−0.05,−0.04,0.43                           **,0.16,0.15
Mean PAP,0.49                           **,0.37*,0.27,0.37*,0.21,0.29
Procedural characteristics,,,,,,
"Diameter of ASD, balloon",0.27,0.04,0.26,0.31,−0.01,0.23
"Diameter of ASD, echo",0.03,−0.02,−0.25,0.08,−0.02,0.04
Device size,0.05,0.07,0.11,−0.16,0.14,0.07
"Device size, bsa indexed",0.08,−0.05,0.13,−0.19,0.14,0.14
