Species,Tissue,Lipid %,n,TBP-DBPE,EH-TBB,BTBPE,syn                          -DDC-CO,anti                          -DDC-CO,DBDPE,ΣHFRs
Blue mussel,soft body,1.40,100,<2.5,<1.0,<0.75,<0.18,<0.21,<6.8,8.2
Viviparous eelpout,muscle,1.52,47,6.8,<0.77,<0.57,<0.14,<0.16,<5.2,12
Atlantic herring,muscle,5.1,38/40,0.053,0.67,0.036,0.035,0.070,0.90,1.8
Grey seal,blubber,85.5,4/5,0.073,*,5.5,6.0,26,0.17,38
Harbor seal,blubber,94.6,4/5,0.11,*,0.080,0.046,0.092,0.70,1.0
Harbor porpoise,blubber,83.4,2/4,0.071,*,<0.036,0.040,0.074,0.20,0.42
Common eider,egg,22.9,5/5,<0.016,0.50,0.11,0.10,0.21,0.59,1.6
,liver,1.9,5/5,<0.23,<0.12,3.1,16,52,8.8,80
Common guillemot,egg,12.2,4/5,0.053,0.34,0.42,0.13,0.40,0.35,1.7
White-tailed eagle,egg,5.2,4/5,0.57,2.9,3.8,3.7,7.8,1.2,20
