PCDD/Fs,REP PC                         5                        (M),Ratio,REP PC                         5                        (M),PBDD/Fs
"2,3,7,8-TCDD",1.0,2,0.49,"2,3,7,8-TBDD"
"1,2,3,7,8-PeCDD",0.54,1,0.38,"1,2,3,7,8-PeBDD"
"1,2,3,4,6,7,8-HpCDD",0.14,10,0.015,"1,2,3,4,6,7,8-HpBDD"
OCDD,0.0025,11,0.00023,OBDD
"2,3,7,8-TCDF",0.38,0.5,0.80,"2,3,7,8-TBDF"
"2,3,4,7,8-PeCDF",0.34,1,0.35,"2,3,4,7,8-PeBDF"
"1,2,3,7,8-PeCDF",0.35,5,0.064,"1,2,3,7,8-PeBDF"
"1,2,3,4,7,8-HxCDF",0.32,8,0.040,"1,2,3,4,7,8-HxBDF"
"1,2,3,4,6,7,8-HpCDF",0.057,11,0.0053,"1,2,3,4,6,7,8-HpBDF"
OCDF,0.020,18,0.0011,OBDF
